GeneID	Rank
NEDD4L	414
SERPING1	415
SCN7A	416
KIF11	417
LDHA	418
AK2	419
TBX4	420
CD83	421
CAD	422
COLEC12	423
AKAP13	424
ZFP36	425
AK1	426
MYH11	427
FEN1	428
TNS2	429
OGN	430
PIK3R1	431
BZW2	432
ANKRD1	433
KCNA5	434
SLC27A3	435
BMPR2	436
PILRA	437
FRMD4A	438
ARHGAP24	439
FRY	440
WDR12	441
ZBED2	442
VIM	443
RMDN3	444
SMPDL3B	445
TIMELESS	446
C1orf106	447
DIXDC1	448
PRDX4	449
GIMAP4	450
EGFL7	451
SPATS2	452
SLC19A3	453
APOBR	454
PNPLA6	455
CDKN3	456
MCM2	457
EPRS	458
MRPL17	459
ST14	460
ADAMTS1	461
WASF3	462
GABARAPL1	463
ABLIM3	464
PTPN21	465
FAM110D	466
HSPB6	467
TROAP	468
TPI1	469
CYP27A1	470
PHKA1	471
GAB2	472
IL18R1	473
MAP3K8	474
CORO2B	475
POLR2H	476
PTPRD	477
IDH2	478
CXCL12	479
EPB41L2	480
HLF	481
BDNF	482
RASGRF1	483
PTTG1	484
THBS2	485
ALOX5AP	486
KCNJ8	487
KLF6	488
PPAT	489
TRAP1	490
TSPAN4	491
PGM5	492
UBFD1	493
MAL	494
RCAN1	495
STAC	496
PHACTR2	497
TIMP1	498
DENND5A	499
DLC1	500
DCN	501
ARHGAP6	502
IRAK1	503
RASSF2	504
SEPP1	505
P2RY14	506
DUSP1	507
TNFSF13	508
ENO1	509
IL33	510
TFAP2A	511
DOK2	512
NTRK3	513
FPR2	514
ZWINT	515
MYL9	516
AP1S2	517
HN1L	518
ARHGEF10	519
MVB12B	520
ABHD6	521
EZH2	522
METTL7A	523
CYB5A	524
HPCAL1	525
NES	526
CPA3	527
FOXM1	528
RGN	529
RAPGEF4	530
A2M	531
ARHGEF16	532
TLR4	533
CCNF	534
IL3RA	535
PTGDS	536
CTDSPL	537
NEBL	538
C1orf112	539
TMED3	540
CSRP1	541
CPSF6	542
SYNC	543
BUB1	544
CD59	545
SFTPD	546
KIF15	547
ACKR1	548
GTF2IRD1	549
MMP28	550
CRABP2	551
GPER1	552
VARS	553
RPP40	554
DUS1L	555
NIPSNAP1	556
ADCY9	557
CCDC69	558
SELENBP1	559
ZCCHC24	560
REEP1	561
ABCG2	562
CALCOCO1	563
RECQL4	564
TMPRSS4	565
PDGFB	566
TYMS	567
SLC52A2	568
RPL23AP32	569
ECM2	570
HLA-E	571
CLU	572
TUBG1	573
SMUG1	574
CNTN6	575
RGS17	576
LAD1	577
PROS1	578
LST1	579
MCM10	580
EMP2	581
EIF6	582
F12	583
CDT1	584
SLC35F2	585
KLF13	586
GALE	587
GPA33	588
FANCI	589
GADD45B	590
LILRA5	591
ITGA8	592
CENPM	593
S100A3	594
CASKIN2	595
CHEK1	596
ANXA11	597
PPME1	598
DBNDD1	599
EMP1	600
RCC1	601
MANF	602
CELSR3	603
