"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Akap11"	-0.681	-0.838	-0.525	11.267	-9.191	5.49e-08	4.5e-07	0.112
"Slc18a1"	-1.579	-1.942	-1.216	6.567	-9.191	5.49e-08	4.5e-07	0.115
"Gda"	2.981	2.296	3.666	11.838	9.19	5.5e-08	4.5e-07	0.092
"LRRTM1"	-1.344	-1.653	-1.035	9.18	-9.189	5.5e-08	4.5e-07	0.166
"Map3k8"	1.182	0.911	1.454	10.533	9.19	5.5e-08	4.5e-07	0.135
"Klc2"	-1.541	-1.895	-1.187	11.937	-9.184	5.55e-08	4.53e-07	0.175
"Mcm5"	2.878	2.216	3.539	7.089	9.183	5.56e-08	4.54e-07	0.09
"Pard6a"	-1.463	-1.8	-1.127	11.724	-9.183	5.56e-08	4.54e-07	0.175
"Ica1"	-1.416	-1.741	-1.09	10.707	-9.182	5.57e-08	4.55e-07	0.157
"Snai3"	2.046	1.576	2.517	4.939	9.18	5.58e-08	4.55e-07	0.089
"Spetex-2D"	-1.541	-1.896	-1.187	10.034	-9.178	5.6e-08	4.56e-07	0.252
"Mkrn2"	-0.443	-0.545	-0.341	11.914	-9.178	5.6e-08	4.56e-07	0.592
"Coq3"	-0.912	-1.121	-0.702	14.06	-9.175	5.63e-08	4.58e-07	0.251
"Gabrb3"	-1.648	-2.027	-1.269	6.552	-9.173	5.64e-08	4.59e-07	0.412
"Atp2b2"	-1.719	-2.114	-1.323	11.815	-9.172	5.65e-08	4.6e-07	0.117
"Kcnj10"	-1.191	-1.465	-0.917	7.928	-9.171	5.67e-08	4.6e-07	0.126
"C5ar1"	2.897	2.23	3.564	11.138	9.169	5.68e-08	4.61e-07	0.14
"Adamts1"	1.683	1.295	2.071	8.267	9.161	5.75e-08	4.67e-07	0.096
"LOC364451"	0.774	0.596	0.952	13.217	9.156	5.8e-08	4.7e-07	0.187
"Cntn6"	-1.776	-2.185	-1.366	6.957	-9.153	5.82e-08	4.72e-07	0.235
"Clcnkb"	-1.686	-2.075	-1.297	8.167	-9.153	5.83e-08	4.72e-07	0.219
"Actr3b"	-0.858	-1.056	-0.66	7.009	-9.151	5.84e-08	4.73e-07	0.172
"Fam167a"	1.503	1.156	1.85	5.285	9.15	5.85e-08	4.74e-07	0.148
"Vwa5b2"	-1.383	-1.703	-1.064	7.896	-9.15	5.85e-08	4.74e-07	0.413
"Lmna"	0.7	0.539	0.862	14.61	9.147	5.88e-08	4.75e-07	0.174
"Arpc3"	0.608	0.468	0.748	16.4	9.143	5.91e-08	4.78e-07	0.103
"Chst10"	-1.126	-1.386	-0.866	13.999	-9.144	5.91e-08	4.78e-07	0.38
"Qsox1"	0.905	0.696	1.114	12.402	9.143	5.91e-08	4.78e-07	0.054
"Coro2b"	-0.726	-0.893	-0.558	10.807	-9.142	5.92e-08	4.78e-07	0.438
"Tk1"	2.237	1.72	2.753	7.838	9.141	5.94e-08	4.79e-07	0.155
"Sfrp1"	2.306	1.773	2.838	9.299	9.136	5.98e-08	4.82e-07	0.248
"MGC116197"	-1.64	-2.019	-1.261	11.526	-9.135	5.99e-08	4.82e-07	0.119
"Nfkb2"	1.017	0.782	1.252	8.115	9.129	6.05e-08	4.87e-07	0.117
"Fkbp7"	1.163	0.894	1.432	11.316	9.127	6.06e-08	4.88e-07	0.237
"Nefm"	-1.689	-2.08	-1.299	16.493	-9.125	6.09e-08	4.9e-07	0.102
"Eif4a2"	-0.834	-1.027	-0.641	15.52	-9.124	6.1e-08	4.9e-07	0.071
"Itgb7"	2.618	2.012	3.225	7.405	9.111	6.22e-08	5e-07	0.064
"Ndufb3"	-0.555	-0.683	-0.426	11.198	-9.11	6.23e-08	5e-07	0.103
"Ahi1"	-1.151	-1.418	-0.884	9.319	-9.109	6.24e-08	5.01e-07	0.211
"Id3"	1.302	1	1.604	13.886	9.108	6.24e-08	5.01e-07	0.214
"Slc3a1"	-1.665	-2.051	-1.279	8.094	-9.108	6.25e-08	5.01e-07	0.428
"Cxcl1"	5.841	4.488	7.195	8.356	9.108	6.25e-08	5.01e-07	0.119
"Obsl1"	1.482	1.139	1.826	8.941	9.107	6.26e-08	5.01e-07	0.153
"Amz2"	-0.522	-0.643	-0.401	12.419	-9.099	6.33e-08	5.07e-07	0.126
"Fosl1"	2.157	1.657	2.658	6.992	9.096	6.37e-08	5.09e-07	0.095
"Syt1"	-1.692	-2.084	-1.299	7.049	-9.092	6.4e-08	5.12e-07	0.296
"Thsd7b"	-1.418	-1.747	-1.089	6.192	-9.093	6.4e-08	5.12e-07	0.25
"Sned1"	1.537	1.18	1.894	10.78	9.091	6.42e-08	5.13e-07	0.136
"Kcnd2"	-1.631	-2.009	-1.252	10.44	-9.09	6.43e-08	5.13e-07	0.577
"Aqp11"	-1.83	-2.255	-1.405	9.858	-9.087	6.45e-08	5.15e-07	0.296
"Ncstn"	1.019	0.782	1.256	9.478	9.083	6.49e-08	5.18e-07	0.17
"Aoah"	4.922	3.778	6.066	5.69	9.082	6.51e-08	5.19e-07	0.07
"Efs"	0.953	0.732	1.175	12.766	9.081	6.52e-08	5.19e-07	0.155
"Arhgap4"	0.979	0.751	1.206	5.864	9.079	6.53e-08	5.2e-07	0.156
"Htr3a"	-0.859	-1.058	-0.659	6.885	-9.079	6.53e-08	5.2e-07	0.234
"Plekhg2"	1.462	1.122	1.802	7.03	9.08	6.53e-08	5.2e-07	0.091
"RGD1560353"	0.852	0.654	1.05	11.687	9.079	6.54e-08	5.2e-07	0.119
"Pold1"	0.772	0.592	0.952	11.636	9.077	6.56e-08	5.21e-07	0.249
"Agpat1"	-0.62	-0.764	-0.476	14.882	-9.074	6.59e-08	5.23e-07	0.208
"Prps1"	-0.778	-0.96	-0.597	12.239	-9.067	6.66e-08	5.28e-07	0.104
"Rcan2"	-0.937	-1.155	-0.719	11.904	-9.067	6.66e-08	5.28e-07	0.181
"LOC365983"	0.824	0.632	1.015	12.521	9.065	6.68e-08	5.3e-07	0.116
"Eif4e2"	1.289	0.989	1.589	11.151	9.064	6.69e-08	5.3e-07	0.127
"Sytl3"	1.977	1.517	2.438	6.649	9.062	6.71e-08	5.31e-07	0.166
"Gprc5b"	-0.98	-1.208	-0.752	10.793	-9.059	6.75e-08	5.34e-07	0.1
"LOC689412"	1.332	1.021	1.642	8.153	9.057	6.76e-08	5.35e-07	0.228
"Ccl27"	-1.585	-1.954	-1.215	12.004	-9.056	6.78e-08	5.36e-07	0.15
