"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Gpnmb"	6.21	5.984	6.437	15.754	57.805	7.1e-21	1.07e-16	0.054
"Cd68"	6.93	6.616	7.244	14.629	46.61	2.65e-19	1.69e-15	0.205
"Ifitm1"	7.609	7.26	7.959	14.007	45.948	3.37e-19	1.69e-15	0.079
"Cd8b"	5.875	5.557	6.193	10.749	38.971	5.32e-18	1.35e-14	0.312
"Ctsk"	5.628	5.323	5.933	13.612	38.937	5.4e-18	1.35e-14	0.38
"RGD1559482"	8.087	7.656	8.518	13.338	39.596	4.08e-18	1.35e-14	0.161
"Ms4a6a"	5.448	5.146	5.751	10.82	38.028	8.02e-18	1.47e-14	0.1
"Plbd1"	7.565	7.15	7.981	11.089	38.39	6.84e-18	1.47e-14	0.425
"Tyrobp"	2.586	2.441	2.73	12.389	37.823	8.78e-18	1.47e-14	0.079
"Klra5"	7.155	6.752	7.557	11.644	37.549	9.91e-18	1.49e-14	0.108
"Ms4a6b"	4.856	4.581	5.132	13.59	37.214	1.15e-17	1.57e-14	0.193
"Atf3"	4.596	4.331	4.862	12.416	36.518	1.58e-17	1.98e-14	0.34
"LOC681325"	7.308	6.878	7.738	7.681	35.853	2.15e-17	2.48e-14	0.272
"Fcgr2b"	2.708	2.542	2.874	14.384	34.424	4.23e-17	4.54e-14	0.237
"Hck"	3.301	3.094	3.508	14.258	33.665	6.14e-17	6.15e-14	0.064
"Cfd"	5.216	4.886	5.546	13.399	33.351	7.18e-17	6.74e-14	0.078
"Cd300le"	7.747	7.253	8.241	10.186	33.105	8.12e-17	7.18e-14	0.216
"Ccl3"	4.822	4.511	5.133	11.385	32.741	9.76e-17	8.15e-14	0.093
"Fermt3"	3.254	3.042	3.466	13.451	32.355	1.19e-16	8.69e-14	0.103
"Laptm5"	2.049	1.915	2.183	16.444	32.314	1.21e-16	8.69e-14	0.069
"Slamf9"	5.846	5.465	6.227	12.249	32.415	1.15e-16	8.69e-14	0.056
"Hk3"	7.077	6.611	7.544	10.621	32.028	1.41e-16	9.62e-14	0.135
"Dennd2d"	3.883	3.626	4.141	10.446	31.818	1.57e-16	1.03e-13	0.066
"Arl11"	4.315	4.027	4.602	10.195	31.721	1.65e-16	1.04e-13	0.091
"Cytip"	3.98	3.711	4.25	7.681	31.182	2.2e-16	1.32e-13	0.16
"Glipr1"	4.178	3.894	4.463	12.018	31.032	2.38e-16	1.38e-13	0.231
"Vim"	4.056	3.779	4.332	15.152	30.921	2.53e-16	1.41e-13	0.737
"C1qa"	2.861	2.665	3.058	15.972	30.8	2.7e-16	1.45e-13	0.681
"Cyba"	3.548	3.304	3.793	14.364	30.677	2.89e-16	1.45e-13	0.456
"Grn"	3.057	2.847	3.267	16.042	30.72	2.82e-16	1.45e-13	0.132
"Anxa1"	4.085	3.799	4.371	13.432	30.13	3.89e-16	1.83e-13	0.075
"LOC498276"	3.026	2.815	3.238	15.08	30.149	3.85e-16	1.83e-13	0.108
"Plcb2"	3.226	2.998	3.453	8.433	29.926	4.36e-16	1.98e-13	0.184
"Dok3"	3.752	3.486	4.017	11.209	29.825	4.61e-16	2.04e-13	0.198
"Apobec1"	5.194	4.826	5.563	13.872	29.753	4.8e-16	2.06e-13	0.821
"Mdfic"	2.718	2.524	2.912	9.872	29.582	5.28e-16	2.2e-13	0.125
"Ctsc"	3.259	3.02	3.499	12.296	28.729	8.58e-16	3.49e-13	0.178
"Ptprc"	2.874	2.66	3.087	7.619	28.393	1.04e-15	4.09e-13	0.176
"Tax1bp3"	2.014	1.864	2.163	14.691	28.364	1.06e-15	4.09e-13	0.198
"Emp3"	2.608	2.414	2.803	14.398	28.276	1.12e-15	4.12e-13	0.143
"Timp1"	3.948	3.653	4.243	14.385	28.264	1.12e-15	4.12e-13	0.376
"Ripk3"	3.136	2.9	3.371	12.508	28.111	1.23e-15	4.4e-13	0.129
"Tcirg1"	2.423	2.24	2.605	15.077	27.994	1.32e-15	4.56e-13	0.125
"Tnfrsf1b"	3.462	3.201	3.723	11.562	27.972	1.34e-15	4.56e-13	0.145
"Ccl4"	4.488	4.147	4.828	7.994	27.821	1.46e-15	4.77e-13	0.07
"Col3a1"	6.328	5.848	6.807	13.896	27.841	1.44e-15	4.77e-13	0.052
"MGC105649"	4.361	4.026	4.695	10.303	27.544	1.73e-15	5.52e-13	0.176
"Mafb"	4.114	3.796	4.431	10.305	27.348	1.94e-15	6.08e-13	0.112
"Dnajc22"	3.149	2.905	3.393	11.585	27.235	2.08e-15	6.23e-13	0.103
"Gcnt1"	2.6	2.398	2.801	8.433	27.208	2.11e-15	6.23e-13	0.191
"Ly96"	2.958	2.729	3.186	8.499	27.265	2.04e-15	6.23e-13	0.14
"Agpat2"	3.199	2.95	3.448	7.576	27.132	2.21e-15	6.28e-13	0.198
"Fcer1g"	2.998	2.765	3.231	14.194	27.133	2.21e-15	6.28e-13	0.153
"Rgs18"	5.507	5.075	5.939	7.643	26.925	2.51e-15	6.99e-13	0.12
"Adam33"	5.037	4.642	5.433	9.55	26.873	2.59e-15	7.09e-13	0.156
"Ctsz"	3.026	2.787	3.265	13.232	26.771	2.76e-15	7.35e-13	0.071
"Myo1g"	3.681	3.391	3.972	12.06	26.755	2.79e-15	7.35e-13	0.146
"Irf5"	2.139	1.97	2.308	12.377	26.702	2.88e-15	7.47e-13	0.167
"Tmem176b"	2.431	2.238	2.623	15.04	26.664	2.95e-15	7.52e-13	0.172
"Cd200r1"	4.505	4.146	4.863	7.656	26.535	3.2e-15	8.01e-13	0.103
"Tnfrsf1a"	1.829	1.683	1.975	14.081	26.5	3.27e-15	8.05e-13	0.185
"Dpp7"	2.505	2.304	2.707	14.702	26.217	3.9e-15	9.46e-13	0.085
"Rab32"	3.342	3.073	3.612	9.309	26.157	4.06e-15	9.67e-13	0.077
"St14"	3.718	3.417	4.018	8.719	26.119	4.15e-15	9.75e-13	0.051
"Aif1"	1.914	1.759	2.07	15.854	26.063	4.3e-15	9.95e-13	0.169
"C2"	3.643	3.346	3.939	13.822	25.926	4.7e-15	1.05e-12	0.11
"Trem2"	3.047	2.799	3.296	15.931	25.918	4.72e-15	1.05e-12	0.147
"Vav1"	3.926	3.606	4.246	10.397	25.914	4.73e-15	1.05e-12	0.371
"Dapp1"	2.761	2.536	2.987	9.393	25.839	4.96e-15	1.07e-12	0.121
"Mmp8"	7.232	6.641	7.823	6.47	25.839	4.96e-15	1.07e-12	0.092
"Cmtm3"	2.368	2.174	2.563	9.28	25.683	5.48e-15	1.16e-12	0.19
"Col1a2"	4.654	4.27	5.038	14.102	25.59	5.82e-15	1.22e-12	0.571
"Cd8a"	7.49	6.871	8.108	9.195	25.563	5.92e-15	1.22e-12	0.408
"Rnaset2"	2.393	2.195	2.591	15.465	25.502	6.16e-15	1.25e-12	0.081
"Kcnk13"	1.848	1.694	2.002	13.007	25.35	6.8e-15	1.36e-12	0.107
"Clic1"	2.33	2.136	2.525	14.379	25.308	6.99e-15	1.38e-12	0.104
"Skap2"	1.799	1.649	1.95	14.274	25.278	7.13e-15	1.39e-12	0.12
"Icam1"	2.784	2.55	3.018	11.435	25.087	8.08e-15	1.54e-12	0.057
"Siglec1"	7.795	7.14	8.451	8.094	25.101	8e-15	1.54e-12	0.348
"Ctrc"	2.589	2.371	2.808	8.962	25.037	8.35e-15	1.57e-12	0.124
"Fxyd2"	3.611	3.306	3.917	10.096	24.94	8.91e-15	1.64e-12	0.096
"Plaur"	5.739	5.253	6.225	8.319	24.935	8.93e-15	1.64e-12	0.117
"Slc15a3"	2.94	2.69	3.19	11.325	24.802	9.76e-15	1.77e-12	0.113
"A2m"	1.948	1.781	2.114	16.384	24.678	1.06e-14	1.86e-12	0.168
"Col6a1"	3.604	3.296	3.913	12.21	24.662	1.07e-14	1.86e-12	0.138
"Ctsd"	1.315	1.202	1.427	17.674	24.673	1.06e-14	1.86e-12	0.135
"Stk10"	2.734	2.5	2.968	11.593	24.651	1.08e-14	1.86e-12	0.092
"Ptprv"	4.074	3.722	4.426	8.262	24.421	1.26e-14	2.15e-12	0.188
"Ifi30"	3.124	2.852	3.395	15.464	24.313	1.35e-14	2.29e-12	0.053
"S100a6"	3.458	3.157	3.759	11.411	24.245	1.42e-14	2.37e-12	0.082
"Itgb2"	3.306	3.017	3.595	12.609	24.148	1.52e-14	2.5e-12	0.131
"Tmem176a"	2.72	2.482	2.958	13.557	24.104	1.56e-14	2.55e-12	0.255
"Fabp4"	7.316	6.674	7.958	8.832	24.049	1.62e-14	2.58e-12	0.075
"Gucy2c"	5.562	5.074	6.05	5.619	24.073	1.59e-14	2.58e-12	0.084
"Tgfbr1"	2.126	1.939	2.312	8.272	24.042	1.63e-14	2.58e-12	0.093
"Lhfpl2"	1.594	1.454	1.734	11.542	24.006	1.67e-14	2.61e-12	0.275
"Tm7sf2"	-2.178	-2.369	-1.986	12.834	-23.968	1.71e-14	2.63e-12	0.111
"Wtip"	1.967	1.794	2.14	13.532	23.966	1.72e-14	2.63e-12	0.107
"Plau"	5.824	5.311	6.338	8.578	23.943	1.74e-14	2.65e-12	0.188
"Aldh1l2"	2.908	2.651	3.164	8.628	23.925	1.76e-14	2.65e-12	0.092
"Batf"	4.13	3.764	4.497	8.925	23.788	1.94e-14	2.88e-12	0.074
"Fhod1"	1.369	1.247	1.49	9.822	23.779	1.95e-14	2.88e-12	0.235
"Kcnn4"	4.794	4.368	5.22	11.25	23.76	1.98e-14	2.89e-12	0.072
"Lilrb4"	7.833	7.134	8.532	7.823	23.645	2.14e-14	3.09e-12	0.087
"Ptpn6"	2.684	2.444	2.924	14.259	23.586	2.23e-14	3.19e-12	0.071
"Smpdl3a"	2.757	2.509	3.004	14.905	23.509	2.36e-14	3.34e-12	0.162
"Ms4a4a"	7.111	6.472	7.751	10.206	23.456	2.44e-14	3.43e-12	0.216
"Arhgap9"	2.41	2.192	2.627	12.205	23.348	2.64e-14	3.67e-12	0.136
"Rasal3"	2.112	1.92	2.303	12.737	23.278	2.77e-14	3.82e-12	0.311
"Gusb"	3.104	2.821	3.386	9.918	23.19	2.95e-14	4.03e-12	0.114
"Fcgr2a"	3.338	3.034	3.642	12.613	23.171	2.99e-14	4.05e-12	0.085
"Gas2l3"	4.888	4.439	5.336	5.29	22.991	3.4e-14	4.56e-12	0.102
"Fap"	5.288	4.802	5.774	7.369	22.978	3.43e-14	4.56e-12	0.086
"C1qb"	2.495	2.265	2.725	16.717	22.856	3.74e-14	4.93e-12	0.054
"Cd63"	1.918	1.74	2.095	15.914	22.833	3.8e-14	4.97e-12	0.131
"Arhgap25"	2.269	2.059	2.479	9.014	22.798	3.9e-14	5.05e-12	0.087
"Loxl1"	4.695	4.259	5.13	11.586	22.752	4.03e-14	5.18e-12	0.28
"Unc13d"	2.016	1.829	2.204	11.079	22.717	4.14e-14	5.27e-12	0.245
"Aacs"	-1.801	-1.969	-1.634	11.089	-22.695	4.2e-14	5.3e-12	0.131
"Col6a3"	5.257	4.765	5.75	7.768	22.536	4.71e-14	5.9e-12	0.125
"Sqle"	-1.928	-2.109	-1.748	12.201	-22.505	4.82e-14	5.99e-12	0.176
"Esm1"	5.984	5.422	6.547	9.724	22.451	5.02e-14	6.18e-12	0.127
"Ncf4"	3.246	2.939	3.552	11.281	22.339	5.44e-14	6.65e-12	0.086
"Syk"	3.687	3.338	4.035	10.053	22.324	5.5e-14	6.67e-12	0.103
"B4galt1"	3.286	2.975	3.597	7.953	22.302	5.59e-14	6.73e-12	0.098
"RGD1305807"	6.425	5.815	7.035	8.376	22.227	5.91e-14	7.05e-12	0.078
"Myo1f"	3.515	3.18	3.849	13.997	22.167	6.18e-14	7.31e-12	0.19
"Rhbdf2"	3.078	2.785	3.371	9.336	22.154	6.24e-14	7.32e-12	0.071
"Tmem106a"	3.383	3.06	3.707	8.922	22.082	6.58e-14	7.67e-12	0.051
"Cybb"	4.372	3.952	4.792	7.941	21.99	7.05e-14	8.15e-12	0.253
"Ctsb"	1.071	0.968	1.174	17.64	21.965	7.17e-14	8.23e-12	0.159
"Lst1"	5.51	4.978	6.043	10.23	21.846	7.84e-14	8.93e-12	0.167
"Ch25h"	3.08	2.782	3.379	11.012	21.778	8.25e-14	9.32e-12	0.156
"Tgfb1"	2.951	2.665	3.238	9.232	21.739	8.5e-14	9.53e-12	0.151
"Samsn1"	2.885	2.604	3.166	7.522	21.677	8.91e-14	9.92e-12	0.122
"Tnfaip8l2"	3.013	2.718	3.307	12.239	21.608	9.39e-14	1.04e-11	0.186
"Col1a1"	4.49	4.051	4.929	13.497	21.583	9.57e-14	1.05e-11	0.077
"Fgr"	2.619	2.362	2.876	9.011	21.496	1.02e-13	1.1e-11	0.098
"Rhoh"	2.581	2.328	2.835	9.064	21.503	1.02e-13	1.1e-11	0.111
"Tbxas1"	3.625	3.269	3.981	13.193	21.492	1.02e-13	1.1e-11	0.129
"Ctsa"	1.861	1.677	2.044	15.45	21.435	1.07e-13	1.13e-11	0.087
"Ifitm2"	4.174	3.763	4.585	13.899	21.444	1.06e-13	1.13e-11	0.125
"Tspo"	2.571	2.317	2.824	12.085	21.396	1.1e-13	1.16e-11	0.386
"Gdf15"	5.869	5.288	6.449	9.742	21.342	1.15e-13	1.18e-11	0.29
"Mrc1"	4.5	4.056	4.945	9.026	21.356	1.14e-13	1.18e-11	0.126
"Rbp1"	3.915	3.528	4.302	14.39	21.344	1.15e-13	1.18e-11	0.196
"Ren"	1.554	1.4	1.708	8.934	21.323	1.17e-13	1.19e-11	0.124
"Pltp"	1.807	1.628	1.986	11.856	21.294	1.19e-13	1.21e-11	0.145
"Ctsh"	1.864	1.678	2.049	13.522	21.225	1.26e-13	1.27e-11	0.11
"Cebpd"	2.489	2.241	2.737	13.785	21.19	1.29e-13	1.28e-11	0.064
"Crym"	2.318	2.087	2.549	13.17	21.182	1.3e-13	1.28e-11	0.302
"Myo7a"	3.285	2.958	3.612	9.601	21.186	1.29e-13	1.28e-11	0.083
"Folr2"	5.393	4.854	5.931	13.019	21.148	1.33e-13	1.31e-11	0.159
"Arpc1b"	3.177	2.86	3.494	13.945	21.137	1.34e-13	1.31e-11	0.91
"Eif4ebp1"	2.295	2.066	2.525	12.561	21.1	1.38e-13	1.34e-11	0.057
"Gpr65"	3.412	3.07	3.754	7.162	21.056	1.43e-13	1.38e-11	0.079
"Thbs2"	2.841	2.556	3.126	12.194	21.047	1.44e-13	1.38e-11	0.247
"Scpep1"	2.628	2.364	2.893	14.333	20.974	1.53e-13	1.45e-11	0.073
"Pi16"	4.202	3.778	4.625	8.46	20.945	1.56e-13	1.47e-11	0.176
"Pcolce"	3.747	3.369	4.125	12.862	20.92	1.59e-13	1.5e-11	0.135
"Anpep"	2.674	2.404	2.944	10.508	20.909	1.61e-13	1.5e-11	0.496
"C3ar1"	2.9	2.606	3.193	8.937	20.866	1.66e-13	1.53e-11	0.091
"Lyz2"	4.626	4.158	5.094	15.139	20.863	1.66e-13	1.53e-11	0.51
"Acp5"	5.139	4.618	5.659	13.65	20.84	1.69e-13	1.55e-11	0.063
"Abca1"	4.814	4.325	5.302	11.6	20.795	1.76e-13	1.6e-11	0.075
"Cfh"	2.385	2.143	2.628	11.402	20.748	1.82e-13	1.65e-11	0.09
"C1qc"	3.75	3.368	4.133	12.726	20.711	1.88e-13	1.67e-11	0.119
"Dock8"	2.106	1.892	2.321	7.875	20.722	1.86e-13	1.67e-11	0.121
"Ncf1"	3.95	3.547	4.353	12.754	20.696	1.9e-13	1.67e-11	1.044
"Prkcd"	2.237	2.009	2.465	13.539	20.699	1.89e-13	1.67e-11	0.12
"Ptpn7"	3.155	2.833	3.477	9.832	20.694	1.9e-13	1.67e-11	0.153
"Asgr2"	3.465	3.11	3.819	10.762	20.64	1.98e-13	1.73e-11	0.413
"Htr2b"	4.55	4.084	5.015	10.789	20.614	2.02e-13	1.76e-11	0.693
"Myc"	1.844	1.655	2.033	10.356	20.608	2.03e-13	1.76e-11	0.111
"Pros1"	1.798	1.614	1.982	8.659	20.594	2.06e-13	1.77e-11	0.115
"Scamp2"	1.728	1.551	1.906	11.681	20.581	2.08e-13	1.77e-11	0.245
"Lgmn"	2.407	2.16	2.655	15.027	20.509	2.2e-13	1.87e-11	0.141
"Cd1d1"	1.827	1.639	2.016	11.427	20.492	2.23e-13	1.88e-11	0.221
"Gsdmd"	1.522	1.364	1.679	13.293	20.383	2.43e-13	2.03e-11	0.248
"Ly86"	2.573	2.307	2.84	11.337	20.38	2.44e-13	2.03e-11	0.108
"Fut4"	1.767	1.584	1.95	10.963	20.344	2.51e-13	2.08e-11	0.219
"Tec"	2.307	2.067	2.546	13.005	20.341	2.51e-13	2.08e-11	0.29
"Traf3ip3"	2.227	1.996	2.459	8.761	20.326	2.55e-13	2.09e-11	0.082
"Tlr2"	2.622	2.349	2.895	13.61	20.262	2.68e-13	2.19e-11	0.23
"RGD1561594"	-1.871	-2.067	-1.675	10.445	-20.178	2.87e-13	2.33e-11	0.114
"Ly49s7"	4.948	4.429	5.466	5.849	20.147	2.94e-13	2.38e-11	0.197
"Bmf"	2.598	2.325	2.871	8.685	20.093	3.07e-13	2.47e-11	0.064
"Btk"	2.755	2.465	3.046	8.891	20.017	3.27e-13	2.6e-11	0.11
"Mmp2"	3.017	2.699	3.335	11.402	20.014	3.27e-13	2.6e-11	0.161
"Col15a1"	4.72	4.221	5.219	12.306	19.965	3.41e-13	2.7e-11	0.114
"Cyp1b1"	4.971	4.444	5.498	7.762	19.918	3.54e-13	2.79e-11	0.136
"Vnn1"	2.785	2.489	3.082	8.936	19.807	3.88e-13	3.03e-11	0.075
"Tcf19"	1.854	1.655	2.052	12.963	19.757	4.04e-13	3.14e-11	0.113
"Mical1"	2.27	2.027	2.513	10.918	19.733	4.12e-13	3.19e-11	0.069
"LOC365047"	1.322	1.181	1.464	16.897	19.712	4.19e-13	3.23e-11	0.089
"Slfn2"	3.648	3.257	4.039	11.033	19.69	4.27e-13	3.27e-11	0.109
"RGD1560687"	1.77	1.58	1.96	17.424	19.679	4.31e-13	3.29e-11	0.094
"Mpeg1"	3.931	3.509	4.352	7.84	19.662	4.37e-13	3.31e-11	0.099
"Edem1"	1.756	1.567	1.945	10.498	19.644	4.44e-13	3.35e-11	0.467
"Cd40"	2.43	2.168	2.692	9.682	19.58	4.67e-13	3.51e-11	0.055
"Hhex"	1.558	1.39	1.726	11.569	19.553	4.78e-13	3.57e-11	0.201
"Tlr6"	2.08	1.855	2.305	11.983	19.535	4.85e-13	3.61e-11	0.165
"Hsd17b1"	1.64	1.463	1.818	10.327	19.507	4.97e-13	3.68e-11	0.084
"Entpd1"	2.059	1.835	2.282	9.344	19.412	5.38e-13	3.95e-11	0.147
"Fuca1"	0.937	0.835	1.039	15.825	19.411	5.38e-13	3.95e-11	0.287
"Clcf1"	2.513	2.239	2.786	6.324	19.403	5.42e-13	3.95e-11	0.112
"Mcoln3"	4.468	3.981	4.956	5.127	19.357	5.63e-13	4.09e-11	0.104
"Adcy4"	3.103	2.764	3.441	9.228	19.346	5.68e-13	4.1e-11	0.14
"Il13ra1"	1.955	1.741	2.168	7.687	19.33	5.76e-13	4.1e-11	0.068
"Lrrn4cl"	3.397	3.026	3.768	9.955	19.332	5.75e-13	4.1e-11	0.078
"Stat3"	0.911	0.812	1.011	13.194	19.33	5.76e-13	4.1e-11	0.098
"Hexb"	1.092	0.973	1.212	16.235	19.315	5.83e-13	4.11e-11	0.669
"Pik3ap1"	3.042	2.71	3.374	8.04	19.319	5.81e-13	4.11e-11	0.193
"Cd86"	3.301	2.94	3.663	8.58	19.28	6e-13	4.22e-11	0.128
"Cd6"	2.152	1.917	2.388	10.345	19.264	6.09e-13	4.25e-11	0.076
"Pf4"	4.279	3.81	4.748	12.833	19.256	6.13e-13	4.25e-11	0.239
"Trim47"	1.605	1.429	1.781	11.993	19.255	6.14e-13	4.25e-11	0.055
"Ppic"	3.492	3.108	3.875	10.188	19.232	6.25e-13	4.31e-11	0.158
"Egr2"	4.027	3.585	4.469	9.293	19.222	6.31e-13	4.33e-11	0.145
"Hexa"	2.429	2.162	2.697	12.854	19.173	6.57e-13	4.49e-11	0.106
"Cd34"	3.148	2.801	3.496	7.317	19.113	6.92e-13	4.68e-11	0.166
"Lrrfip1"	2.805	2.496	3.115	12.095	19.118	6.89e-13	4.68e-11	0.185
"Matn2"	3.679	3.272	4.085	11.436	19.107	6.95e-13	4.68e-11	0.087
"Col6a2"	2.855	2.54	3.171	9.058	19.095	7.02e-13	4.71e-11	1.644
"Junb"	2.381	2.117	2.644	9.042	19.077	7.13e-13	4.76e-11	0.513
"Mlkl"	4.093	3.64	4.546	4.657	19.065	7.21e-13	4.79e-11	0.548
"Arhgap10"	2.674	2.376	2.971	9.672	18.983	7.72e-13	5.11e-11	0.228
"Rgs1"	3.513	3.122	3.905	8.844	18.95	7.94e-13	5.24e-11	0.482
"A3galt2"	3.049	2.709	3.39	9.56	18.912	8.21e-13	5.34e-11	0.132
"Fxyd5"	2.531	2.249	2.813	10.693	18.916	8.18e-13	5.34e-11	0.117
"Neurl3"	3.482	3.093	3.87	7.825	18.918	8.17e-13	5.34e-11	0.187
"Dpep2"	3.577	3.177	3.977	7.35	18.869	8.52e-13	5.52e-11	0.109
"Ifi47"	2.866	2.544	3.189	9.549	18.772	9.25e-13	5.97e-11	0.491
"Nckap1l"	2.316	2.055	2.577	11.856	18.748	9.45e-13	6.02e-11	0.179
"Timp2"	1.299	1.153	1.445	16.959	18.748	9.45e-13	6.02e-11	0.481
"Ugt1a2"	2.4	2.129	2.67	10.447	18.748	9.45e-13	6.02e-11	0.118
"RGD1564614"	2.239	1.986	2.492	11.433	18.682	1e-12	6.34e-11	0.109
"Stom"	2.661	2.361	2.962	9.802	18.676	1.01e-12	6.35e-11	0.664
"Mmp19"	2.646	2.346	2.946	7.373	18.64	1.04e-12	6.52e-11	0.184
"Tspan4"	2.332	2.067	2.598	11.575	18.538	1.13e-12	7.1e-11	0.33
"Cdk6"	4.273	3.785	4.761	5.915	18.481	1.19e-12	7.43e-11	0.256
"Rarres1"	2.766	2.45	3.082	9.47	18.469	1.2e-12	7.48e-11	0.287
"Prrg4"	4.85	4.295	5.406	7.257	18.438	1.24e-12	7.64e-11	0.059
"Smagp"	2.424	2.146	2.702	5.164	18.434	1.24e-12	7.64e-11	0.587
"Bcl3"	2.933	2.597	3.269	12.766	18.428	1.25e-12	7.65e-11	0.093
"Etv6"	1.213	1.074	1.352	7.244	18.412	1.27e-12	7.74e-11	0.182
"RGD1563222"	2.221	1.966	2.476	9.327	18.376	1.31e-12	7.95e-11	0.257
"Tlr4"	1.817	1.609	2.026	9.793	18.369	1.32e-12	7.97e-11	0.094
"Cd244"	1.694	1.499	1.89	6.013	18.256	1.45e-12	8.73e-11	0.136
"Slc2a9"	3.363	2.974	3.751	8.296	18.26	1.45e-12	8.73e-11	0.164
"Rgs14"	1.797	1.589	2.006	8.637	18.22	1.5e-12	8.97e-11	0.288
"Bmp1"	1.563	1.381	1.744	11.012	18.2	1.53e-12	9.1e-11	0.131
"Il1r2"	3.331	2.944	3.717	7.221	18.189	1.54e-12	9.15e-11	0.307
"Adig"	5.001	4.42	5.581	8.01	18.182	1.55e-12	9.18e-11	0.182
"Lbp"	7.094	6.267	7.92	9.85	18.117	1.64e-12	9.68e-11	0.498
"Hpse"	2.874	2.539	3.21	9.443	18.061	1.73e-12	1.01e-10	0.132
"Casp1"	2.175	1.92	2.43	10.634	18.026	1.78e-12	1.04e-10	0.131
"Adamts7"	2.369	2.091	2.646	10.442	18.016	1.8e-12	1.05e-10	0.158
"Tep1"	1.681	1.484	1.878	12.892	18.013	1.8e-12	1.05e-10	0.099
"Mvk"	-1.49	-1.665	-1.315	10.829	-18.003	1.82e-12	1.05e-10	0.201
"Soat1"	2.728	2.407	3.048	7.494	17.965	1.88e-12	1.08e-10	0.134
"Usp31"	-1.188	-1.328	-1.048	7.107	-17.953	1.9e-12	1.09e-10	0.189
"Sin3b"	1.288	1.137	1.44	15.076	17.946	1.91e-12	1.09e-10	0.31
"Plxnc1"	3.162	2.789	3.534	10.559	17.918	1.96e-12	1.11e-10	0.089
"Psme1"	1.472	1.299	1.645	13.602	17.917	1.97e-12	1.11e-10	0.052
"Ankle1"	3.08	2.717	3.444	8.4	17.888	2.02e-12	1.14e-10	0.121
"Dab2"	3.576	3.154	3.998	11.374	17.889	2.02e-12	1.14e-10	0.048
"Bgn"	2.079	1.833	2.325	15.881	17.838	2.11e-12	1.18e-10	0.282
"Slc43a3"	3.184	2.808	3.561	6.087	17.835	2.12e-12	1.18e-10	0.24
"Gna15"	2.918	2.572	3.263	11.309	17.815	2.15e-12	1.2e-10	0.136
"Lrch4"	2.772	2.443	3.101	10.596	17.776	2.23e-12	1.24e-10	0.122
"Pygl"	2.792	2.46	3.124	10.338	17.744	2.3e-12	1.27e-10	0.16
"Fcgr1a"	2.9	2.554	3.245	10.617	17.717	2.35e-12	1.3e-10	0.12
"Hgf"	3.245	2.859	3.632	4.518	17.713	2.36e-12	1.3e-10	0.1
"Arhgap22"	1.495	1.317	1.673	12.173	17.691	2.41e-12	1.32e-10	0.185
"Oaf"	1.684	1.483	1.885	12.733	17.686	2.42e-12	1.32e-10	0.129
"Idi1"	-2.222	-2.488	-1.956	12	-17.636	2.53e-12	1.37e-10	0.203
"Ggta1"	2.625	2.31	2.94	5.312	17.595	2.63e-12	1.42e-10	0.141
"Stap1"	5.81	5.113	6.507	6.388	17.598	2.62e-12	1.42e-10	0.269
"Nucb2"	1.96	1.725	2.196	12.403	17.58	2.67e-12	1.43e-10	0.061
"Efemp2"	2.117	1.862	2.371	12.912	17.541	2.76e-12	1.48e-10	0.147
"Pbk"	3.55	3.121	3.979	7.322	17.475	2.94e-12	1.57e-10	0.088
"Nid2"	2.692	2.366	3.017	10.29	17.454	2.99e-12	1.59e-10	0.141
"Mboat1"	3.89	3.419	4.361	7.271	17.442	3.03e-12	1.6e-10	0.284
"Unc93b1"	3.451	3.034	3.869	8.77	17.444	3.02e-12	1.6e-10	0.066
"Tifa"	1.76	1.547	1.974	10.179	17.375	3.22e-12	1.69e-10	0.335
"Scube1"	2.189	1.922	2.455	9.107	17.353	3.29e-12	1.72e-10	0.093
"Ccl2"	4.743	4.165	5.321	10.861	17.324	3.38e-12	1.76e-10	0.277
"S100a4"	1.822	1.6	2.044	13.522	17.309	3.42e-12	1.78e-10	0.448
"Emilin1"	2.592	2.275	2.909	9.778	17.27	3.55e-12	1.84e-10	0.707
"Acsl3"	-1.55	-1.74	-1.361	13.844	-17.245	3.63e-12	1.87e-10	0.115
"Dtx4"	2.184	1.916	2.451	9.046	17.245	3.63e-12	1.87e-10	0.14
"Ybx1"	1.148	1.007	1.289	15.251	17.204	3.77e-12	1.94e-10	0.275
"Lrrk1"	1.807	1.586	2.029	10.494	17.196	3.8e-12	1.94e-10	0.437
"Slc39a6"	1.542	1.353	1.731	12.844	17.195	3.81e-12	1.94e-10	0.105
"Shc1"	2.126	1.864	2.387	9.769	17.175	3.88e-12	1.97e-10	0.113
"Cdca4"	1.334	1.17	1.498	7.803	17.144	3.99e-12	2.02e-10	0.146
"Lpxn"	2.227	1.952	2.502	10.891	17.105	4.14e-12	2.09e-10	0.231
"Plp2"	2.674	2.344	3.004	13.407	17.1	4.16e-12	2.09e-10	0.138
"Capg"	3.401	2.981	3.821	14.507	17.09	4.2e-12	2.1e-10	0.086
"Lman2"	0.966	0.847	1.085	14.908	17.088	4.21e-12	2.1e-10	0.072
"Cebpb"	2.026	1.775	2.277	8.578	17.041	4.4e-12	2.19e-10	0.14
"Slc16a7"	2.068	1.812	2.325	8.76	17.013	4.51e-12	2.24e-10	0.098
