"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Slc6a15"	-1.268	-1.717	-0.819	8.953	-5.957	1.59e-05	8.67e-05	0.574
"Armc8"	-0.612	-0.829	-0.395	7.607	-5.956	1.6e-05	8.68e-05	0.098
"Cadm3"	-1.029	-1.393	-0.664	8.435	-5.956	1.6e-05	8.68e-05	0.117
"Lrtm2"	-1.342	-1.818	-0.866	10.24	-5.956	1.6e-05	8.68e-05	0.278
"Sergef"	-0.395	-0.535	-0.255	11.919	-5.955	1.6e-05	8.7e-05	0.143
"Map1b"	-1.107	-1.499	-0.714	10.195	-5.952	1.61e-05	8.75e-05	0.165
"Smad6"	1.051	0.678	1.424	7.46	5.951	1.61e-05	8.75e-05	0.115
"Ano4"	-1.372	-1.858	-0.885	6.94	-5.951	1.62e-05	8.76e-05	0.128
"Vldlr"	-0.877	-1.188	-0.566	9.161	-5.95	1.62e-05	8.77e-05	0.155
"Cox6a1"	-0.504	-0.682	-0.325	17.404	-5.949	1.62e-05	8.77e-05	0.141
"Higd1b"	-0.783	-1.061	-0.505	11.875	-5.939	1.65e-05	8.95e-05	0.316
"Spdya"	-1.537	-2.083	-0.991	8.522	-5.939	1.65e-05	8.95e-05	0.133
"Pax8"	-1.377	-1.866	-0.887	6.028	-5.938	1.66e-05	8.97e-05	0.071
"Nxnl2"	-1.176	-1.593	-0.758	5.593	-5.937	1.66e-05	8.97e-05	0.247
"Trpc3"	-0.474	-0.643	-0.306	3.552	-5.937	1.66e-05	8.98e-05	0.123
"Cadps"	-1.819	-2.466	-1.172	13.027	-5.935	1.66e-05	9e-05	0.194
"Gng8"	-0.902	-1.223	-0.581	13.928	-5.933	1.67e-05	9.05e-05	0.106
"Nt5c"	1.065	0.686	1.444	11.035	5.931	1.68e-05	9.07e-05	0.051
"Tia1"	0.636	0.41	0.863	8.382	5.929	1.69e-05	9.1e-05	0.171
"Cisd3"	-0.425	-0.577	-0.274	12.912	-5.928	1.69e-05	9.12e-05	0.112
"Cenpa"	2.047	1.318	2.776	5.949	5.927	1.69e-05	9.14e-05	0.087
"Cdkl1"	-1.426	-1.934	-0.918	8.71	-5.926	1.7e-05	9.15e-05	0.103
"Syt4"	-1.273	-1.726	-0.819	10.059	-5.924	1.7e-05	9.18e-05	0.099
"Dppa5"	-0.776	-1.052	-0.499	5.873	-5.922	1.71e-05	9.21e-05	0.082
"Otulin"	0.96	0.618	1.302	10.219	5.919	1.72e-05	9.26e-05	0.1
"Blvrb"	0.48	0.309	0.65	13.284	5.919	1.72e-05	9.26e-05	0.187
"Slc7a2"	1.422	0.915	1.93	6.586	5.918	1.72e-05	9.27e-05	0.121
"Chmp2b"	-0.629	-0.853	-0.405	7.611	-5.917	1.73e-05	9.3e-05	0.079
"Oxt"	-0.652	-0.885	-0.419	4.898	-5.916	1.73e-05	9.31e-05	0.073
"Plxdc2"	1.114	0.716	1.511	8.357	5.915	1.73e-05	9.32e-05	0.104
"Hcn1"	-1.433	-1.945	-0.922	8.765	-5.914	1.73e-05	9.33e-05	0.083
"Lgals7"	-0.695	-0.942	-0.447	6.663	-5.913	1.74e-05	9.35e-05	0.101
"RGD1566292"	0.494	0.318	0.671	10.735	5.912	1.74e-05	9.36e-05	0.159
"Ssbp3"	-0.554	-0.752	-0.356	10.975	-5.912	1.74e-05	9.36e-05	0.1
"Tbkbp1"	-1.149	-1.559	-0.739	6.666	-5.911	1.75e-05	9.37e-05	0.125
"Dhrs7b"	-0.513	-0.696	-0.33	10.986	-5.911	1.75e-05	9.38e-05	0.115
"Schip1"	-0.677	-0.918	-0.435	13.31	-5.911	1.75e-05	9.38e-05	0.239
"Idh3g"	-0.437	-0.593	-0.281	15.086	-5.902	1.78e-05	9.54e-05	0.101
"Gapdh"	-0.457	-0.62	-0.294	16.14	-5.901	1.78e-05	9.56e-05	0.12
"Arhgap17"	1.168	0.75	1.585	11.024	5.9	1.78e-05	9.56e-05	0.09
"Atp8b4"	2.52	1.619	3.422	3.449	5.901	1.78e-05	9.56e-05	0.556
"Krt25"	-2.124	-2.883	-1.364	6.734	-5.9	1.79e-05	9.57e-05	0.2
"Zfp189"	-0.712	-0.967	-0.457	7.757	-5.899	1.79e-05	9.57e-05	0.198
"Ccs"	0.47	0.302	0.638	13.552	5.899	1.79e-05	9.58e-05	0.195
"Slc2a10"	0.812	0.521	1.103	6.338	5.897	1.79e-05	9.6e-05	0.592
"Impdh2"	0.524	0.336	0.712	13.653	5.897	1.8e-05	9.61e-05	0.126
"Bdkrb2"	-0.455	-0.618	-0.292	7.421	-5.897	1.8e-05	9.61e-05	0.154
"Clasp2"	-0.51	-0.693	-0.327	11.558	-5.895	1.8e-05	9.64e-05	0.068
"Kif1a"	-0.816	-1.108	-0.524	10.962	-5.895	1.8e-05	9.64e-05	0.261
"Echdc1"	-1.11	-1.507	-0.712	10.906	-5.894	1.81e-05	9.65e-05	0.102
"Rph3al"	1.006	0.646	1.366	10.458	5.894	1.81e-05	9.65e-05	0.086
"Syt10"	-0.89	-1.209	-0.571	6.987	-5.888	1.83e-05	9.75e-05	0.1
"Snx13"	-0.642	-0.873	-0.412	9.321	-5.885	1.84e-05	9.82e-05	0.158
"Eya3"	0.87	0.558	1.182	7.215	5.883	1.85e-05	9.85e-05	0.124
