"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Gpnmb"	6.166	5.902	6.43	15.754	49.263	1.04e-19	1.57e-15	0.063
"Cd68"	6.572	6.206	6.938	14.629	37.943	8.32e-18	6.25e-14	0.239
"Ifitm1"	7.113	6.705	7.52	14.007	36.867	1.35e-17	6.74e-14	0.092
"Klra5"	7.358	6.889	7.826	11.644	33.148	7.95e-17	2.99e-13	0.188
"Cd8b"	5.476	5.105	5.847	10.749	31.182	2.2e-16	4.72e-13	0.495
"Plbd1"	7.165	6.68	7.649	11.089	31.207	2.17e-16	4.72e-13	0.443
"Tyrobp"	2.509	2.341	2.678	12.389	31.509	1.85e-16	4.72e-13	0.363
"Ctsk"	5.131	4.775	5.486	13.612	30.47	3.23e-16	6.06e-13	0.116
"Atf3"	4.404	4.094	4.713	12.416	30.035	4.1e-16	6.16e-13	0.126
"Fcgr2b"	2.754	2.561	2.948	14.384	30.055	4.06e-16	6.16e-13	0.092
"LOC681325"	7.001	6.5	7.502	7.681	29.485	5.58e-16	7.62e-13	0.224
"RGD1559482"	6.945	6.443	7.447	13.338	29.189	6.59e-16	8.26e-13	0.396
"Ms4a6b"	4.414	4.093	4.734	13.59	29.034	7.2e-16	8.33e-13	0.317
"Ms4a6a"	4.776	4.423	5.128	10.82	28.613	9.17e-16	9.85e-13	0.276
"Adam33"	5.712	5.251	6.173	9.55	26.159	4.05e-15	3.93e-12	0.075
"Hk3"	6.706	6.162	7.249	10.621	26.05	4.34e-15	3.93e-12	0.091
"Vim"	3.975	3.652	4.297	15.152	26.012	4.45e-15	3.93e-12	0.251
"Slamf9"	5.443	4.999	5.886	12.249	25.906	4.76e-15	3.97e-12	0.108
"Ccl3"	4.416	4.054	4.778	11.385	25.742	5.28e-15	4.08e-12	0.065
"Dennd2d"	3.654	3.354	3.954	10.446	25.699	5.43e-15	4.08e-12	0.12
"Cfd"	4.624	4.24	5.009	13.399	25.383	6.66e-15	4.77e-12	0.08
"Laptm5"	1.865	1.709	2.021	16.444	25.244	7.29e-15	4.98e-12	0.157
"Anxa1"	3.955	3.621	4.288	13.432	25.039	8.34e-15	5.22e-12	0.106
"Mdfic"	2.683	2.457	2.909	9.872	25.063	8.21e-15	5.22e-12	0.077
"Hck"	2.852	2.611	3.093	14.258	24.966	8.75e-15	5.26e-12	0.186
"Fermt3"	2.915	2.668	3.162	13.451	24.879	9.27e-15	5.36e-12	0.27
"Arl11"	3.899	3.565	4.233	10.195	24.607	1.11e-14	6.18e-12	0.859
"Ccl4"	4.521	4.124	4.917	7.994	24.058	1.61e-14	8.6e-12	0.793
"LOC498276"	2.803	2.556	3.049	15.08	23.965	1.72e-14	8.6e-12	0.531
"Tax1bp3"	1.982	1.808	2.157	14.691	23.971	1.71e-14	8.6e-12	0.154
"Cyba"	3.195	2.91	3.479	14.364	23.707	2.05e-14	9.63e-12	0.088
"Dok3"	3.478	3.168	3.787	11.209	23.73	2.02e-14	9.63e-12	0.126
"Emp3"	2.534	2.307	2.76	14.398	23.577	2.25e-14	1.02e-11	0.214
"Glipr1"	3.672	3.341	4.003	12.018	23.409	2.53e-14	1.12e-11	0.231
"Plcb2"	2.92	2.654	3.185	8.433	23.248	2.83e-14	1.21e-11	0.956
"C1qa"	2.503	2.274	2.731	15.972	23.124	3.09e-14	1.25e-11	0.208
"Cytip"	3.443	3.129	3.757	7.681	23.153	3.03e-14	1.25e-11	0.146
"Apobec1"	4.683	4.254	5.112	13.872	23.026	3.31e-14	1.31e-11	0.205
"Cd300le"	6.26	5.684	6.835	10.186	22.961	3.47e-14	1.34e-11	0.231
"Grn"	2.641	2.396	2.886	16.042	22.784	3.94e-14	1.48e-11	0.166
"MGC105649"	4.138	3.748	4.527	10.303	22.435	5.07e-14	1.82e-11	0.15
"Sqle"	-2.241	-2.452	-2.031	12.201	-22.454	5e-14	1.82e-11	0.438
"Tmem176b"	2.379	2.155	2.603	15.04	22.403	5.2e-14	1.82e-11	0.145
"Timp1"	3.538	3.195	3.882	14.385	21.744	8.47e-14	2.89e-11	0.169
"Agpat2"	2.98	2.69	3.27	7.576	21.698	8.77e-14	2.93e-11	0.061
"Aacs"	-1.998	-2.193	-1.803	11.089	-21.608	9.38e-14	2.96e-11	0.205
"Tm7sf2"	-2.289	-2.513	-2.066	12.834	-21.631	9.22e-14	2.96e-11	0.082
"Tnfrsf1a"	1.737	1.567	1.906	14.081	21.596	9.47e-14	2.96e-11	0.13
"C2"	3.469	3.123	3.814	13.822	21.191	1.29e-13	3.88e-11	0.12
"Icam1"	2.743	2.47	3.016	11.435	21.216	1.27e-13	3.88e-11	0.163
"Lhfpl2"	1.614	1.451	1.777	11.542	20.868	1.66e-13	4.88e-11	0.222
"Tcirg1"	2.098	1.885	2.311	15.077	20.807	1.74e-13	5.02e-11	0.178
"Gcnt1"	2.304	2.069	2.539	8.433	20.702	1.89e-13	5.16e-11	0.182
"Mafb"	3.629	3.26	3.999	10.305	20.712	1.87e-13	5.16e-11	0.14
"Skap2"	1.719	1.544	1.894	14.274	20.726	1.85e-13	5.16e-11	0.231
"Ptprc"	2.434	2.185	2.682	7.619	20.639	1.98e-13	5.23e-11	0.17
"St14"	3.424	3.074	3.774	8.719	20.647	1.97e-13	5.23e-11	0.083
"Plaur"	5.498	4.932	6.063	8.319	20.505	2.21e-13	5.72e-11	0.194
"Fcer1g"	2.625	2.353	2.896	14.194	20.392	2.42e-13	6.15e-11	0.2
"Ripk3"	2.642	2.367	2.916	12.508	20.327	2.54e-13	6.37e-11	0.12
"Gas2l3"	5.028	4.505	5.551	5.29	20.303	2.59e-13	6.39e-11	0.215
"Siglec1"	7.331	6.567	8.095	8.094	20.263	2.68e-13	6.49e-11	0.099
"Fxyd2"	3.411	3.055	3.767	10.096	20.219	2.77e-13	6.62e-11	0.089
"Ctsc"	2.668	2.389	2.947	12.296	20.189	2.84e-13	6.67e-11	0.06
"Ctsd"	1.251	1.12	1.382	17.674	20.156	2.92e-13	6.75e-11	0.197
"Ly96"	2.544	2.278	2.811	8.499	20.135	2.97e-13	6.76e-11	0.128
"Rab32"	2.994	2.68	3.309	9.309	20.115	3.02e-13	6.76e-11	0.171
"Dpp7"	2.224	1.989	2.459	14.702	19.98	3.37e-13	7.38e-11	0.432
"Vav1"	3.523	3.15	3.895	10.397	19.958	3.43e-13	7.38e-11	0.108
"Vnn1"	3.269	2.923	3.615	8.936	19.955	3.44e-13	7.38e-11	0.14
"A2m"	1.811	1.617	2.006	16.384	19.703	4.22e-13	8.84e-11	0.222
"Tnfrsf1b"	2.84	2.536	3.145	11.562	19.699	4.24e-13	8.84e-11	0.666
"RGD1561594"	-2.108	-2.336	-1.88	10.445	-19.517	4.93e-13	1.01e-10	0.476
"Slc15a3"	2.693	2.402	2.985	11.325	19.504	4.98e-13	1.01e-10	0.095
"Stk10"	2.509	2.236	2.781	11.593	19.413	5.37e-13	1.08e-10	0.124
"Cebpd"	2.652	2.363	2.941	13.785	19.379	5.53e-13	1.09e-10	0.121
"Dnajc22"	2.608	2.324	2.893	11.585	19.363	5.6e-13	1.09e-10	0.14
"Crym"	2.462	2.193	2.731	13.17	19.315	5.83e-13	1.12e-10	0.405
"Col3a1"	5.094	4.535	5.652	13.896	19.238	6.23e-13	1.18e-10	0.066
"Cd200r1"	3.798	3.38	4.215	7.656	19.204	6.4e-13	1.19e-10	0.145
"Irf5"	1.792	1.595	1.989	12.377	19.199	6.43e-13	1.19e-10	0.112
"Trem2"	2.626	2.337	2.915	15.931	19.172	6.58e-13	1.21e-10	0.136
"Lilrb4"	7.374	6.56	8.189	7.823	19.108	6.95e-13	1.24e-10	0.195
"Mt2A"	2.997	2.666	3.328	15.465	19.117	6.89e-13	1.24e-10	0.131
"Fhod1"	1.272	1.13	1.413	9.822	18.965	7.84e-13	1.36e-10	0.161
"RGD1305807"	6.381	5.671	7.092	8.376	18.951	7.94e-13	1.36e-10	0.219
"Rnaset2"	2.073	1.842	2.304	15.465	18.963	7.86e-13	1.36e-10	0.107
"Tmem176a"	2.496	2.219	2.774	13.557	18.989	7.69e-13	1.36e-10	0.158
"Ctsb"	1.073	0.953	1.193	17.64	18.896	8.32e-13	1.37e-10	0.095
"S100a6"	3.14	2.789	3.49	11.411	18.895	8.33e-13	1.37e-10	0.153
"Smpdl3a"	2.584	2.296	2.872	14.905	18.916	8.18e-13	1.37e-10	0.061
"Clic1"	2.025	1.798	2.251	14.379	18.875	8.47e-13	1.38e-10	0.297
"Aldh1l2"	2.652	2.353	2.95	8.628	18.729	9.61e-13	1.54e-10	0.098
"Cd8a"	6.391	5.671	7.112	9.195	18.725	9.64e-13	1.54e-10	0.088
"Clcf1"	2.819	2.5	3.137	6.324	18.684	9.99e-13	1.58e-10	0.108
"Ctsz"	2.456	2.178	2.734	13.232	18.652	1.03e-12	1.61e-10	0.321
"Ch25h"	3.066	2.718	3.413	11.012	18.605	1.07e-12	1.65e-10	0.129
"Itgb2"	2.966	2.63	3.303	12.609	18.6	1.07e-12	1.65e-10	0.124
"Stat3"	1.018	0.902	1.134	13.194	18.53	1.14e-12	1.73e-10	0.219
"Ctsh"	1.891	1.675	2.107	13.522	18.484	1.19e-12	1.75e-10	0.086
"Dapp1"	2.301	2.038	2.564	9.393	18.484	1.19e-12	1.75e-10	0.274
"Myo1g"	2.964	2.626	3.303	12.06	18.493	1.18e-12	1.75e-10	0.107
"Col1a2"	3.909	3.461	4.356	14.102	18.448	1.23e-12	1.79e-10	0.084
"Fcgr2a"	3.094	2.74	3.449	12.613	18.439	1.24e-12	1.79e-10	0.101
"Rgs18"	4.381	3.878	4.884	7.643	18.387	1.29e-12	1.85e-10	0.083
"Fabp4"	6.51	5.762	7.258	8.832	18.369	1.31e-12	1.86e-10	0.189
"Esm1"	5.69	5.034	6.345	9.724	18.322	1.37e-12	1.92e-10	0.251
"Ly49s7"	5.204	4.6	5.808	5.849	18.188	1.54e-12	2.15e-10	0.159
"Col6a1"	3.087	2.727	3.446	12.21	18.129	1.63e-12	2.23e-10	0.362
"Prkcd"	2.281	2.015	2.546	13.539	18.112	1.65e-12	2.23e-10	0.099
"Rhoh"	2.533	2.238	2.828	9.064	18.112	1.65e-12	2.23e-10	0.133
"Kcnn4"	4.244	3.748	4.741	11.25	18.057	1.73e-12	2.33e-10	0.119
"Fam107a"	1.644	1.452	1.837	9.479	18.006	1.81e-12	2.41e-10	0.1
"Tgfbr1"	1.852	1.634	2.069	8.272	17.978	1.86e-12	2.45e-10	0.063
"Gucy2c"	4.818	4.25	5.387	5.619	17.901	1.99e-12	2.6e-10	0.153
"Asgr2"	3.488	3.075	3.901	10.762	17.837	2.11e-12	2.74e-10	0.102
"Pltp"	1.758	1.55	1.967	11.856	17.786	2.21e-12	2.84e-10	0.326
"Gdf15"	5.685	5.008	6.361	9.742	17.745	2.3e-12	2.92e-10	0.286
"Tec"	2.332	2.053	2.611	13.005	17.656	2.49e-12	3.14e-10	0.152
"Ifi30"	2.639	2.323	2.955	15.464	17.633	2.54e-12	3.18e-10	0.145
"Cd63"	1.717	1.511	1.924	15.914	17.551	2.74e-12	3.34e-10	0.1
"Egr2"	4.285	3.77	4.8	9.293	17.558	2.72e-12	3.34e-10	0.148
"Mcoln3"	4.724	4.156	5.291	5.127	17.566	2.7e-12	3.34e-10	0.205
"Matn2"	3.921	3.448	4.394	11.436	17.482	2.92e-12	3.48e-10	0.09
"Rhbdf2"	2.831	2.489	3.173	9.336	17.491	2.89e-12	3.48e-10	0.12
"S100a4"	2.144	1.885	2.403	13.522	17.484	2.91e-12	3.48e-10	0.114
"Pi16"	4.081	3.588	4.575	8.46	17.465	2.96e-12	3.51e-10	0.221
"Lrrn4cl"	3.544	3.112	3.976	9.955	17.316	3.4e-12	3.99e-10	0.083
"C1qb"	2.199	1.93	2.467	16.717	17.289	3.49e-12	4.06e-10	0.059
"Arhgap25"	1.999	1.754	2.244	9.014	17.245	3.63e-12	4.2e-10	0.295
"Cmtm3"	1.849	1.623	2.076	9.28	17.215	3.74e-12	4.25e-10	0.194
"Cybb"	3.988	3.5	4.477	7.941	17.219	3.72e-12	4.25e-10	0.186
"Fgr"	2.438	2.138	2.738	9.011	17.177	3.87e-12	4.37e-10	0.181
"Rasal3"	1.805	1.582	2.028	12.737	17.076	4.26e-12	4.77e-10	0.175
"Idi1"	-2.501	-2.811	-2.192	12	-17.043	4.39e-12	4.85e-10	0.216
"Myc"	1.777	1.557	1.997	10.356	17.048	4.37e-12	4.85e-10	0.142
"Rgs1"	3.66	3.204	4.116	8.844	16.947	4.81e-12	5.27e-10	0.09
"Plau"	4.796	4.198	5.394	8.578	16.924	4.91e-12	5.35e-10	0.129
"Batf"	3.419	2.992	3.846	8.925	16.902	5.02e-12	5.42e-10	0.114
"Ncf1"	3.738	3.268	4.207	12.754	16.81	5.47e-12	5.88e-10	0.15
"Slfn2"	3.62	3.165	4.076	11.033	16.775	5.66e-12	6.03e-10	0.145
"Cd34"	3.215	2.81	3.62	7.317	16.754	5.77e-12	6.07e-10	0.45
"LOC365047"	1.31	1.145	1.474	16.897	16.759	5.74e-12	6.07e-10	0.101
"Hspb1"	2.434	2.126	2.742	15.461	16.66	6.31e-12	6.59e-10	0.146
"Kcnk13"	1.413	1.234	1.592	13.007	16.634	6.47e-12	6.71e-10	0.228
"Wtip"	1.584	1.382	1.786	13.532	16.564	6.93e-12	7.13e-10	0.338
"Cp"	3.127	2.728	3.526	8.79	16.54	7.09e-12	7.2e-10	0.169
"Ptpn6"	2.193	1.913	2.473	14.259	16.541	7.08e-12	7.2e-10	0.145
"Slc39a6"	1.725	1.504	1.945	12.844	16.51	7.3e-12	7.36e-10	0.128
"Dock8"	1.954	1.704	2.204	7.875	16.498	7.38e-12	7.39e-10	0.074
"Lyz2"	4.258	3.713	4.803	15.139	16.485	7.48e-12	7.39e-10	0.352
"Myo7a"	2.978	2.597	3.36	9.601	16.49	7.44e-12	7.39e-10	0.097
"Tspo"	2.301	2.006	2.597	12.085	16.442	7.79e-12	7.66e-10	0.186
"Mmp19"	2.714	2.365	3.064	7.373	16.415	8e-12	7.81e-10	1.06
"Ren"	1.393	1.214	1.572	8.934	16.403	8.1e-12	7.85e-10	0.066
"Cd6"	2.133	1.858	2.408	10.345	16.386	8.23e-12	7.93e-10	0.091
"Unc13d"	1.69	1.472	1.908	11.079	16.345	8.56e-12	8.2e-10	0.287
"Ms4a4a"	5.768	5.022	6.513	10.206	16.329	8.7e-12	8.28e-10	0.085
"B4galt1"	2.798	2.436	3.161	7.953	16.302	8.94e-12	8.45e-10	0.205
"Tbxas1"	3.196	2.781	3.61	13.193	16.263	9.28e-12	8.72e-10	0.157
"RGD1560208"	-2.189	-2.473	-1.904	11.606	-16.233	9.56e-12	8.92e-10	0.578
"Aif1"	1.387	1.207	1.568	15.854	16.214	9.74e-12	9.04e-10	0.106
"Gpr65"	3.056	2.658	3.455	7.162	16.191	9.97e-12	9.19e-10	0.594
"Junb"	2.352	2.045	2.659	9.042	16.178	1.01e-11	9.24e-10	0.074
"Adcy4"	3.01	2.616	3.404	9.228	16.111	1.08e-11	9.82e-10	0.087
"Mpeg1"	3.749	3.257	4.24	7.84	16.098	1.09e-11	9.83e-10	0.141
"Mvd"	-1.983	-2.243	-1.723	12.625	-16.1	1.09e-11	9.83e-10	0.105
"Gusb"	2.504	2.175	2.833	9.918	16.057	1.14e-11	1.02e-09	0.139
"Myo1f"	2.962	2.572	3.352	13.997	16.038	1.16e-11	1.03e-09	0.14
"Stom"	2.658	2.307	3.008	9.802	16.008	1.19e-11	1.06e-09	1.216
"Col6a3"	4.345	3.771	4.918	7.768	15.987	1.22e-11	1.07e-09	0.178
"Tgfb1"	2.528	2.194	2.862	9.232	15.984	1.22e-11	1.07e-09	0.482
"Ctrc"	1.919	1.665	2.174	8.962	15.929	1.29e-11	1.12e-09	0.807
"Arhgap10"	2.61	2.264	2.956	9.672	15.908	1.32e-11	1.14e-09	0.13
"Syk"	3.05	2.644	3.456	10.053	15.852	1.4e-11	1.2e-09	0.135
"Tmem106a"	2.825	2.448	3.201	8.922	15.826	1.43e-11	1.22e-09	0.285
"Pros1"	1.606	1.392	1.821	8.659	15.794	1.48e-11	1.26e-09	0.165
"Arpc1b"	2.76	2.39	3.129	13.945	15.762	1.53e-11	1.28e-09	0.289
"Cd1d1"	1.637	1.418	1.856	11.427	15.755	1.54e-11	1.28e-09	0.255
"Mst1"	3.648	3.16	4.137	8.103	15.761	1.53e-11	1.28e-09	0.125
"Mvk"	-1.52	-1.724	-1.317	10.829	-15.767	1.52e-11	1.28e-09	0.257
"Scpep1"	2.297	1.989	2.605	14.333	15.736	1.57e-11	1.29e-09	0.338
"Abca1"	4.229	3.659	4.798	11.6	15.68	1.66e-11	1.36e-09	0.095
"Anpep"	2.326	2.011	2.64	10.508	15.612	1.78e-11	1.45e-09	0.268
"Samsn1"	2.415	2.088	2.742	7.522	15.574	1.85e-11	1.5e-09	0.133
"Cd109"	3.092	2.672	3.512	6.553	15.55	1.89e-11	1.53e-09	0.23
"Bcl3"	2.881	2.49	3.273	12.766	15.539	1.92e-11	1.54e-09	0.074
"Hexa"	2.293	1.981	2.604	12.854	15.534	1.92e-11	1.54e-09	0.128
"Eif4ebp1"	1.961	1.693	2.228	12.561	15.471	2.05e-11	1.61e-09	0.133
"Hsd17b1"	1.515	1.308	1.722	10.327	15.465	2.07e-11	1.61e-09	0.131
"Mrc1"	3.797	3.279	4.316	9.026	15.468	2.06e-11	1.61e-09	0.158
"Scamp2"	1.515	1.308	1.721	11.681	15.484	2.03e-11	1.61e-09	0.188
"Thbs2"	2.432	2.1	2.764	12.194	15.466	2.06e-11	1.61e-09	0.088
"Serping1"	3.742	3.231	4.253	13.295	15.454	2.09e-11	1.61e-09	0.104
"Tnfaip8l2"	2.51	2.168	2.853	12.239	15.455	2.09e-11	1.61e-09	0.081
"Col15a1"	4.25	3.669	4.831	12.306	15.43	2.14e-11	1.63e-09	0.109
"Insig1"	-2.385	-2.711	-2.058	10.84	-15.433	2.14e-11	1.63e-09	0.126
"Cd40"	2.229	1.924	2.535	9.682	15.418	2.17e-11	1.65e-09	0.115
"Timp2"	1.243	1.073	1.414	16.959	15.405	2.2e-11	1.66e-09	0.544
"Rab13"	1.953	1.686	2.221	12.397	15.397	2.22e-11	1.66e-09	0.064
"Gsdmd"	1.336	1.153	1.52	13.293	15.364	2.29e-11	1.71e-09	0.234
"Ahnak"	2.502	2.158	2.846	8.655	15.346	2.33e-11	1.74e-09	0.193
"Stap1"	5.871	5.059	6.683	6.388	15.265	2.54e-11	1.88e-09	0.098
"Trib3"	2.996	2.582	3.411	10.007	15.262	2.55e-11	1.88e-09	0.171
"Slc36a2"	5.803	4.998	6.607	6.176	15.228	2.64e-11	1.93e-09	0.334
"Mical1"	2.04	1.757	2.323	10.918	15.22	2.66e-11	1.94e-09	0.13
"Pik3ap1"	2.789	2.402	3.176	8.04	15.205	2.7e-11	1.96e-09	0.121
"Arhgap9"	1.824	1.57	2.077	12.205	15.167	2.81e-11	2.03e-09	0.163
"Dhcr24"	-2.234	-2.545	-1.923	7.419	-15.142	2.89e-11	2.07e-09	0.091
"Mmp8"	4.932	4.243	5.62	6.47	15.124	2.94e-11	2.1e-09	0.115
"Usp31"	-1.166	-1.328	-1.003	7.107	-15.121	2.95e-11	2.1e-09	0.079
"Lst1"	4.441	3.821	5.062	10.23	15.114	2.97e-11	2.11e-09	0.225
"Cd86"	3.011	2.59	3.432	8.58	15.096	3.03e-11	2.14e-09	0.78
"Plxnc1"	3.098	2.664	3.532	10.559	15.071	3.11e-11	2.18e-09	0.149
"Traf3ip3"	1.922	1.652	2.191	8.761	15.054	3.16e-11	2.21e-09	0.089
"Trim47"	1.46	1.255	1.665	11.993	15.034	3.23e-11	2.25e-09	0.278
"Folr2"	4.459	3.832	5.086	13.019	15.012	3.31e-11	2.29e-09	0.064
"Pcolce"	3.131	2.691	3.572	12.862	15.006	3.33e-11	2.29e-09	0.184
"Fut4"	1.517	1.304	1.731	10.963	14.998	3.36e-11	2.3e-09	0.168
"Hmgcs1"	-2.927	-3.34	-2.514	12.145	-14.966	3.47e-11	2.37e-09	0.123
"Aldh2"	1.075	0.923	1.226	14.974	14.941	3.56e-11	2.42e-09	0.216
"Fap"	4.003	3.437	4.569	7.369	14.931	3.6e-11	2.44e-09	0.193
"Ifitm3"	2.809	2.412	3.206	12.158	14.924	3.63e-11	2.44e-09	0.101
"Cfh"	1.996	1.714	2.279	11.402	14.905	3.7e-11	2.48e-09	1.915
"Fuca1"	0.838	0.719	0.957	15.825	14.898	3.73e-11	2.49e-09	0.598
"Rbp1"	3.179	2.728	3.63	14.39	14.877	3.81e-11	2.54e-09	0.638
"Htr2b"	3.818	3.276	4.361	10.789	14.85	3.92e-11	2.6e-09	0.265
"Acp5"	4.263	3.657	4.87	13.65	14.842	3.96e-11	2.61e-09	0.562
"Plekha4"	4.641	3.979	5.303	13.739	14.798	4.15e-11	2.72e-09	0.218
"Acat2l1"	-2.182	-2.495	-1.87	9.002	-14.738	4.42e-11	2.87e-09	0.154
"Ctsa"	1.49	1.276	1.703	15.45	14.733	4.44e-11	2.87e-09	0.572
"Ncf4"	2.494	2.137	2.852	11.281	14.737	4.43e-11	2.87e-09	0.127
"Psme1"	1.411	1.209	1.613	13.602	14.745	4.39e-11	2.87e-09	0.137
"Gadd45g"	1.991	1.705	2.277	13.646	14.684	4.69e-11	3.01e-09	0.137
"Ifitm2"	3.327	2.848	3.805	13.899	14.672	4.75e-11	3.04e-09	0.209
"Vamp5"	1.81	1.549	2.072	12.633	14.612	5.06e-11	3.22e-09	0.561
"Slc2a9"	3.131	2.678	3.584	8.296	14.595	5.16e-11	3.27e-09	0.127
"Mlkl"	3.649	3.121	4.177	4.657	14.59	5.18e-11	3.27e-09	0.773
"Lgmn"	1.993	1.704	2.281	15.027	14.572	5.29e-11	3.31e-09	0.384
"Loxl1"	3.503	2.996	4.011	11.586	14.574	5.27e-11	3.31e-09	0.214
"Ptpn7"	2.579	2.204	2.954	9.832	14.518	5.6e-11	3.48e-09	0.334
"Smagp"	2.224	1.901	2.548	5.164	14.521	5.59e-11	3.48e-09	0.298
"Pttg1ip"	1.476	1.261	1.691	14.578	14.514	5.63e-11	3.48e-09	0.069
"Nr1h3"	1.823	1.558	2.089	12.262	14.501	5.7e-11	3.5e-09	0.684
"Prrg4"	4.444	3.797	5.091	7.257	14.5	5.71e-11	3.5e-09	0.108
"Nsdhl"	-1.271	-1.456	-1.086	9.655	-14.495	5.74e-11	3.51e-09	0.212
"Tlr6"	1.797	1.535	2.059	11.983	14.487	5.8e-11	3.53e-09	0.299
"Cyp51"	-2.193	-2.512	-1.873	11.663	-14.468	5.91e-11	3.58e-09	0.11
"Ptprv"	2.809	2.399	3.219	8.262	14.453	6.01e-11	3.63e-09	0.191
"Hexb"	0.951	0.812	1.09	16.235	14.442	6.08e-11	3.66e-09	0.159
"Tlr4"	1.663	1.42	1.907	9.793	14.431	6.16e-11	3.69e-09	0.335
"Fgl2"	2.63	2.245	3.015	8.18	14.42	6.23e-11	3.72e-09	0.153
"Cebpb"	1.997	1.704	2.289	8.578	14.411	6.29e-11	3.74e-09	0.357
"Nucb2"	1.869	1.595	2.143	12.403	14.385	6.48e-11	3.83e-09	0.212
"Ly86"	2.113	1.803	2.424	11.337	14.367	6.6e-11	3.89e-09	0.58
"Tmem140"	1.998	1.703	2.293	8.955	14.288	7.2e-11	4.23e-09	0.154
"Ifitm7"	2.747	2.34	3.154	11.515	14.256	7.46e-11	4.36e-09	0.153
"Il13ra1"	1.679	1.43	1.928	7.687	14.251	7.5e-11	4.37e-09	0.184
"Sin3b"	1.189	1.013	1.366	15.076	14.219	7.76e-11	4.5e-09	0.115
"Anxa5"	1.218	1.035	1.4	13.711	14.077	9.09e-11	5.25e-09	0.234
"Slitrk6"	-2.337	-2.688	-1.987	5.764	-14.075	9.12e-11	5.25e-09	0.156
"Il1r2"	2.993	2.543	3.443	7.221	14.032	9.56e-11	5.48e-09	0.22
"Scube1"	2.061	1.751	2.371	9.107	14.029	9.59e-11	5.48e-09	0.361
"Tifa"	1.655	1.406	1.904	10.179	14.022	9.67e-11	5.5e-09	0.104
"RGD1560687"	1.467	1.246	1.689	17.424	14.001	9.89e-11	5.61e-09	0.06
"Npc2"	2.163	1.834	2.492	14.815	13.892	1.12e-10	6.31e-09	0.056
"A3galt2"	2.604	2.208	3.001	9.56	13.864	1.15e-10	6.49e-09	0.141
"Ctss"	1.133	0.961	1.306	16.061	13.856	1.16e-10	6.52e-09	0.328
"Capg"	3.208	2.719	3.697	14.507	13.838	1.19e-10	6.61e-09	0.28
"Pf4"	3.582	3.036	4.129	12.833	13.838	1.19e-10	6.61e-09	0.158
"Btk"	2.218	1.879	2.556	8.891	13.828	1.2e-10	6.66e-09	0.143
"Hsd17b7"	-2.149	-2.478	-1.82	6.947	-13.797	1.24e-10	6.87e-09	0.187
"Rhebl1"	-0.988	-1.14	-0.837	9.193	-13.775	1.28e-10	7.02e-09	0.14
"Tnfsf4"	2.338	1.98	2.696	9.727	13.772	1.28e-10	7.02e-09	0.117
"Nckap1l"	1.981	1.677	2.285	11.856	13.765	1.29e-10	7.05e-09	0.215
"Fdft1"	-2.342	-2.702	-1.983	9.372	-13.758	1.3e-10	7.08e-09	0.15
"Vamp8"	1.325	1.121	1.528	13.151	13.75	1.31e-10	7.12e-09	0.237
"Ctsw"	3.625	3.069	4.182	4.544	13.746	1.32e-10	7.13e-09	0.313
"Dab2"	3.198	2.707	3.69	11.374	13.735	1.33e-10	7.18e-09	0.164
"Nat1"	1.425	1.206	1.645	9.431	13.733	1.34e-10	7.18e-09	0.071
"Edem1"	1.425	1.205	1.645	10.498	13.684	1.42e-10	7.54e-09	0.103
"Treml1"	1.942	1.643	2.242	9.009	13.685	1.41e-10	7.54e-09	0.171
"Ggta1"	2.371	2.004	2.738	5.312	13.642	1.48e-10	7.88e-09	0.164
"Ifi47"	2.422	2.046	2.797	9.549	13.614	1.53e-10	8.11e-09	0.077
"Pmvk"	-1.118	-1.291	-0.944	13.063	-13.587	1.58e-10	8.33e-09	0.331
"Tspan4"	1.986	1.677	2.296	11.575	13.554	1.64e-10	8.62e-09	0.391
"Cdk6"	3.648	3.08	4.217	5.915	13.545	1.66e-10	8.69e-09	0.108
"RGD1564614"	1.89	1.596	2.185	11.433	13.538	1.67e-10	8.73e-09	0.323
"Lrrk1"	1.657	1.399	1.915	10.494	13.532	1.68e-10	8.75e-09	0.522
"C1qc"	2.852	2.407	3.298	12.726	13.52	1.71e-10	8.84e-09	0.823
"Parp9"	2.275	1.92	2.631	9.45	13.506	1.73e-10	8.96e-09	0.164
"Tep1"	1.465	1.235	1.694	12.892	13.47	1.81e-10	9.3e-09	0.134
"RGD1563222"	1.895	1.598	2.192	9.327	13.458	1.83e-10	9.4e-09	0.32
"Lrrfip1"	2.295	1.934	2.656	12.095	13.424	1.91e-10	9.75e-09	0.509
"Slc43a3"	2.79	2.351	3.229	6.087	13.413	1.93e-10	9.84e-09	0.122
"Gch1"	3.047	2.567	3.527	10.147	13.408	1.94e-10	9.86e-09	0.132
"Pdlim2"	1.587	1.337	1.837	9.744	13.39	1.98e-10	1e-08	0.17
"Ankle1"	2.685	2.262	3.109	8.4	13.387	1.99e-10	1e-08	0.269
"Ppic"	2.822	2.376	3.269	10.188	13.345	2.09e-10	1.05e-08	0.161
"Rgs14"	1.533	1.291	1.776	8.637	13.341	2.1e-10	1.05e-08	0.1
"Parp10"	2.032	1.71	2.354	9.514	13.327	2.13e-10	1.06e-08	0.084
