"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Plcl1"	-1.282	-1.716	-0.848	12.502	-6.231	9.34e-06	4.62e-05	0.081
"Dynlt1"	0.491	0.325	0.657	14.836	6.231	9.34e-06	4.62e-05	0.115
"Gbp4"	1.3	0.859	1.741	6.258	6.228	9.4e-06	4.65e-05	0.111
"Abhd8"	-1.343	-1.798	-0.888	11.353	-6.225	9.45e-06	4.67e-05	0.08
"Tmbim6"	0.609	0.403	0.816	13.438	6.224	9.47e-06	4.68e-05	0.12
"Lpin3"	0.847	0.56	1.134	9.067	6.224	9.48e-06	4.69e-05	0.217
"Cfb"	1.814	1.199	2.429	11.298	6.223	9.49e-06	4.69e-05	0.053
"Stard10"	-1.071	-1.434	-0.707	10.113	-6.222	9.51e-06	4.7e-05	0.164
"Pm20d1"	1.248	0.825	1.671	4.735	6.221	9.52e-06	4.7e-05	0.077
"Taf1"	-0.586	-0.785	-0.387	6.777	-6.221	9.53e-06	4.7e-05	0.065
"Hapln1"	-3.533	-4.731	-2.334	4.35	-6.221	9.53e-06	4.71e-05	0.135
"Slc27a2"	-2.525	-3.381	-1.668	8.555	-6.219	9.57e-06	4.72e-05	0.123
"G0s2"	1.595	1.053	2.136	10.426	6.217	9.61e-06	4.74e-05	0.149
"Rassf5"	-0.699	-0.936	-0.462	9.727	-6.215	9.65e-06	4.76e-05	0.189
"Eef1a2"	-2.065	-2.766	-1.363	13.505	-6.214	9.66e-06	4.76e-05	0.331
"Pim3"	-0.766	-1.026	-0.506	14.112	-6.213	9.67e-06	4.76e-05	0.095
"Fkbp15"	1.118	0.738	1.498	10.636	6.212	9.69e-06	4.77e-05	0.21
"Kcng4"	-0.693	-0.929	-0.458	7.274	-6.212	9.69e-06	4.77e-05	0.42
"Il6st"	1.006	0.664	1.348	11.271	6.211	9.71e-06	4.78e-05	0.178
"Slamf8"	0.865	0.571	1.159	6.818	6.211	9.72e-06	4.78e-05	0.096
"Cyb5d2"	-0.687	-0.92	-0.453	5.651	-6.207	9.79e-06	4.81e-05	0.234
"Rgs17"	-1.731	-2.32	-1.142	7.703	-6.206	9.8e-06	4.82e-05	0.116
"Btbd17"	-1.452	-1.946	-0.958	9.434	-6.206	9.81e-06	4.82e-05	0.156
"Dclre1c"	0.949	0.626	1.272	8.832	6.203	9.86e-06	4.85e-05	0.077
"Pik3cd"	1.017	0.671	1.363	7.696	6.202	9.88e-06	4.85e-05	0.102
"Tekt2"	1.914	1.262	2.565	9.076	6.202	9.89e-06	4.85e-05	0.152
"Srp9"	-0.544	-0.729	-0.359	13.257	-6.201	9.9e-06	4.86e-05	0.208
"Cul3"	-0.459	-0.615	-0.303	12.009	-6.2	9.92e-06	4.87e-05	0.372
"Pnck"	-1.969	-2.639	-1.299	9.735	-6.2	9.92e-06	4.87e-05	0.11
"Rab8a"	0.569	0.375	0.762	11.924	6.199	9.93e-06	4.87e-05	0.078
"Rtn2"	-1.997	-2.677	-1.317	11.967	-6.199	9.94e-06	4.87e-05	0.513
"RGD1306941"	-1.434	-1.923	-0.946	5.044	-6.199	9.95e-06	4.88e-05	0.078
"Ndufaf3"	-0.547	-0.733	-0.36	11.46	-6.198	9.96e-06	4.88e-05	0.074
"P2rx4"	1.505	0.992	2.017	9.901	6.196	1e-05	4.9e-05	0.228
"Aarsd1"	-0.395	-0.53	-0.261	12.664	-6.195	1e-05	4.91e-05	0.549
"Anxa10"	3.74	2.466	5.015	5.104	6.194	1e-05	4.92e-05	0.269
"Prdm5"	0.802	0.528	1.075	7.588	6.193	1.01e-05	4.92e-05	0.126
"Dleu7"	-2.506	-3.361	-1.651	10.618	-6.187	1.02e-05	4.97e-05	0.108
"Ncoa6"	0.672	0.443	0.902	8.329	6.187	1.02e-05	4.97e-05	0.109
"Rpl19"	0.462	0.305	0.62	15.404	6.188	1.02e-05	4.97e-05	0.169
"Sctr"	2.354	1.551	3.157	5.107	6.188	1.02e-05	4.97e-05	0.126
"Slc7a2"	1.468	0.967	1.968	6.586	6.188	1.02e-05	4.97e-05	0.207
"Wnt7b"	0.903	0.595	1.211	5.785	6.187	1.02e-05	4.97e-05	0.13
"Rps6kl1"	-1.678	-2.25	-1.106	8.247	-6.187	1.02e-05	4.97e-05	0.117
"Tirap"	0.933	0.615	1.252	5.138	6.186	1.02e-05	4.97e-05	0.226
"Trim25"	1.668	1.099	2.237	12.129	6.184	1.02e-05	4.99e-05	0.22
"Acvr1c"	-2.038	-2.734	-1.343	4.577	-6.183	1.03e-05	5e-05	0.145
"Zfp386"	0.581	0.382	0.779	12.286	6.183	1.03e-05	5e-05	0.372
"Sult4a1"	-2.212	-2.967	-1.457	11.862	-6.183	1.03e-05	5e-05	0.12
"Mtx2"	-0.595	-0.799	-0.392	10.793	-6.182	1.03e-05	5.01e-05	0.305
