"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Gpnmb"	6.02	5.759	6.281	15.754	48.745	1.25e-19	1.88e-15	0.062
"Cd68"	6.453	6.092	6.814	14.629	37.756	9.04e-18	6.79e-14	0.236
"Ifitm1"	6.888	6.487	7.29	14.007	36.184	1.84e-17	9.22e-14	0.091
"Klra5"	7.551	7.089	8.013	11.644	34.475	4.13e-17	1.55e-13	0.185
"Cd8b"	5.572	5.206	5.938	10.749	32.154	1.32e-16	3.97e-13	0.358
"Plbd1"	7.068	6.59	7.546	11.089	31.2	2.18e-16	5.46e-13	0.437
"Ctsk"	5.009	4.658	5.36	13.612	30.147	3.85e-16	6.62e-13	0.114
"Fcgr2b"	2.752	2.561	2.943	14.384	30.432	3.3e-16	6.62e-13	0.489
"Tyrobp"	2.365	2.199	2.531	12.389	30.096	3.97e-16	6.62e-13	0.091
"Ms4a6a"	4.728	4.381	5.076	10.82	28.71	8.67e-16	1.18e-12	0.222
"Ms4a6b"	4.327	4.011	4.644	13.59	28.848	8.01e-16	1.18e-12	0.124
"Atf3"	4.082	3.776	4.387	12.416	28.21	1.16e-15	1.45e-12	0.391
"LOC681325"	6.52	6.026	7.015	7.681	27.828	1.45e-15	1.68e-12	0.312
"RGD1559482"	6.493	5.997	6.989	13.338	27.656	1.61e-15	1.73e-12	0.273
"Adam33"	5.817	5.362	6.272	9.55	26.997	2.4e-15	2.15e-12	0.074
"Anxa1"	4.19	3.861	4.519	13.432	26.885	2.58e-15	2.15e-12	0.107
"Cfd"	4.837	4.457	5.216	13.399	26.905	2.54e-15	2.15e-12	0.248
"Vim"	4.064	3.746	4.383	15.152	26.956	2.47e-15	2.15e-12	0.09
"Slamf9"	5.313	4.876	5.751	12.249	25.63	5.68e-15	4.49e-12	0.064
"Agpat2"	3.439	3.153	3.725	7.576	25.374	6.7e-15	4.93e-12	0.118
"Sqle"	-2.495	-2.703	-2.287	12.201	-25.33	6.89e-15	4.93e-12	0.079
"Hk3"	6.397	5.861	6.934	10.621	25.186	7.57e-15	5.17e-12	0.155
"Dennd2d"	3.506	3.21	3.802	10.446	24.987	8.63e-15	5.64e-12	0.076
"Tm7sf2"	-2.596	-2.816	-2.375	12.834	-24.856	9.41e-15	5.89e-12	0.104
"Mdfic"	2.603	2.38	2.826	9.872	24.647	1.08e-14	6.5e-12	0.184
"Emp3"	2.591	2.367	2.815	14.398	24.436	1.25e-14	7.2e-12	0.266
"Ccl3"	4.112	3.754	4.469	11.385	24.288	1.38e-14	7.67e-12	0.848
"LOC498276"	2.795	2.551	3.038	15.08	24.22	1.44e-14	7.74e-12	0.783
"Tax1bp3"	1.969	1.797	2.141	14.691	24.129	1.53e-14	7.95e-12	0.152
"Fermt3"	2.772	2.528	3.016	13.451	23.978	1.7e-14	8.52e-12	0.524
"Icam1"	3.035	2.766	3.304	11.435	23.789	1.94e-14	9.39e-12	0.124
"Cyba"	3.123	2.842	3.403	14.364	23.484	2.4e-14	1.13e-11	0.086
"Arl11"	3.658	3.328	3.988	10.195	23.393	2.55e-14	1.14e-11	0.211
"Hck"	2.635	2.397	2.873	14.258	23.377	2.58e-14	1.14e-11	0.228
"C1qa"	2.485	2.259	2.71	15.972	23.265	2.8e-14	1.2e-11	0.943
"Apobec1"	4.628	4.205	5.052	13.872	23.063	3.23e-14	1.31e-11	0.205
"Tnfrsf1a"	1.83	1.663	1.997	14.081	23.063	3.22e-14	1.31e-11	0.144
"Laptm5"	1.676	1.522	1.83	16.444	22.992	3.39e-14	1.34e-11	0.202
"S100a6"	3.752	3.406	4.098	11.411	22.885	3.66e-14	1.41e-11	0.228
"Grn"	2.606	2.365	2.848	16.042	22.786	3.93e-14	1.48e-11	0.164
"Glipr1"	3.518	3.192	3.845	12.018	22.731	4.09e-14	1.5e-11	0.432
"Cytip"	3.288	2.979	3.598	7.681	22.408	5.17e-14	1.85e-11	0.148
"Dok3"	3.236	2.931	3.541	11.209	22.38	5.28e-14	1.85e-11	0.143
"Ccl4"	4.11	3.718	4.501	7.994	22.164	6.19e-14	2.11e-11	0.166
"C2"	3.543	3.202	3.884	13.822	21.939	7.32e-14	2.44e-11	0.06
"Tmem176b"	2.29	2.069	2.511	15.04	21.854	7.8e-14	2.55e-11	0.081
"Timp1"	3.495	3.156	3.834	14.385	21.767	8.32e-14	2.66e-11	0.202
"MGC105649"	3.927	3.543	4.311	10.303	21.577	9.6e-14	3.01e-11	0.129
"Esm1"	6.584	5.937	7.231	9.724	21.487	1.03e-13	3.15e-11	0.161
"Lhfpl2"	1.634	1.473	1.795	11.542	21.414	1.09e-13	3.27e-11	0.118
"Plcb2"	2.631	2.369	2.892	8.433	21.23	1.25e-13	3.69e-11	0.219
"Mafb"	3.653	3.288	4.018	10.305	21.125	1.36e-13	3.92e-11	0.176
"Cd300le"	5.636	5.068	6.204	10.186	20.951	1.55e-13	4.41e-11	0.228
"Tnfrsf1b"	2.945	2.645	3.246	11.562	20.702	1.89e-13	5.26e-11	0.138
"Cebpd"	2.786	2.5	3.071	13.785	20.626	2.01e-13	5.39e-11	0.18
"RGD1561594"	-2.198	-2.423	-1.973	10.445	-20.624	2.01e-13	5.39e-11	0.082
"Aacs"	-1.871	-2.064	-1.679	11.089	-20.511	2.2e-13	5.79e-11	0.168
"Col1a2"	4.28	3.839	4.722	14.102	20.475	2.26e-13	5.82e-11	0.192
"Siglec1"	7.297	6.544	8.051	8.094	20.441	2.32e-13	5.82e-11	0.119
"Tcirg1"	2.034	1.824	2.244	15.077	20.448	2.31e-13	5.82e-11	0.197
"Ptprc"	2.374	2.128	2.619	7.619	20.403	2.39e-13	5.9e-11	0.212
"Ch25h"	3.303	2.96	3.646	11.012	20.313	2.57e-13	6.13e-11	0.088
"Plaur"	5.376	4.817	5.934	8.319	20.32	2.56e-13	6.13e-11	0.097
"Col6a1"	3.397	3.042	3.751	12.21	20.219	2.78e-13	6.52e-11	0.059
"Gcnt1"	2.205	1.974	2.437	8.433	20.079	3.1e-13	7.18e-11	0.194
"Fcer1g"	2.507	2.239	2.775	14.194	19.742	4.09e-13	9.17e-11	0.169
"St14"	3.232	2.887	3.577	8.719	19.753	4.05e-13	9.17e-11	0.127
"Col3a1"	5.139	4.588	5.691	13.896	19.67	4.34e-13	9.59e-11	0.426
"Ripk3"	2.517	2.247	2.788	12.508	19.63	4.49e-13	9.77e-11	0.106
"Ctsc"	2.554	2.279	2.829	12.296	19.584	4.66e-13	9.86e-11	0.219
"Vav1"	3.413	3.046	3.781	10.397	19.599	4.6e-13	9.86e-11	0.139
"Dpp7"	2.145	1.913	2.377	14.702	19.527	4.88e-13	1.02e-10	0.657
"Gas2l3"	4.769	4.253	5.284	5.29	19.513	4.95e-13	1.02e-10	0.469
"RGD1305807"	6.455	5.753	7.156	8.376	19.425	5.32e-13	1.08e-10	0.093
"Ctsd"	1.187	1.058	1.316	17.674	19.375	5.54e-13	1.11e-10	0.123
"Trem2"	2.609	2.324	2.895	15.931	19.305	5.88e-13	1.16e-10	0.119
"Asgr2"	3.715	3.307	4.122	10.762	19.252	6.15e-13	1.19e-10	0.4
"Tmem176a"	2.498	2.224	2.772	13.557	19.259	6.11e-13	1.19e-10	0.138
"Skap2"	1.573	1.4	1.746	14.274	19.223	6.3e-13	1.2e-10	0.065
"Crym"	2.415	2.149	2.68	13.17	19.195	6.45e-13	1.21e-10	0.143
"Slc15a3"	2.611	2.323	2.898	11.325	19.16	6.64e-13	1.23e-10	0.11
"Ctsb"	1.073	0.954	1.191	17.64	19.138	6.77e-13	1.24e-10	0.135
"Cd8a"	6.435	5.724	7.146	9.195	19.107	6.95e-13	1.26e-10	0.129
"Clcf1"	2.837	2.523	3.151	6.324	19.057	7.25e-13	1.28e-10	0.156
"Egr2"	4.59	4.082	5.098	9.293	19.059	7.24e-13	1.28e-10	0.193
"Mcoln3"	5.047	4.486	5.607	5.127	19.018	7.5e-13	1.31e-10	0.159
"Stk10"	2.414	2.145	2.683	11.593	18.93	8.08e-13	1.4e-10	0.105
"Dnajc22"	2.514	2.233	2.795	11.585	18.914	8.19e-13	1.4e-10	0.216
"Ly96"	2.344	2.08	2.607	8.499	18.794	9.08e-13	1.53e-10	0.061
"Ctsh"	1.894	1.681	2.107	13.522	18.761	9.34e-13	1.56e-10	0.094
"Ahnak"	3.011	2.671	3.35	8.655	18.713	9.74e-13	1.58e-10	0.293
"Mt2A"	2.895	2.568	3.221	15.465	18.711	9.75e-13	1.58e-10	0.096
"Vnn1"	3.027	2.686	3.368	8.936	18.725	9.64e-13	1.58e-10	0.151
"Ctsz"	2.423	2.149	2.697	13.232	18.649	1.03e-12	1.61e-10	0.107
"Fcgr2a"	3.086	2.737	3.436	12.613	18.638	1.04e-12	1.61e-10	0.316
"Fxyd2"	3.108	2.757	3.459	10.096	18.671	1.01e-12	1.61e-10	0.087
"Rab32"	2.737	2.427	3.047	9.309	18.635	1.04e-12	1.61e-10	0.127
"Gpx3"	2.022	1.793	2.252	11.348	18.577	1.1e-12	1.68e-10	0.122
"Clic1"	1.964	1.74	2.187	14.379	18.554	1.12e-12	1.7e-10	0.216
"Cmtm3"	1.954	1.73	2.178	9.28	18.436	1.24e-12	1.86e-10	0.106
"Cd200r1"	3.584	3.172	3.996	7.656	18.367	1.32e-12	1.94e-10	0.085
"Usp31"	-1.397	-1.557	-1.236	7.107	-18.365	1.32e-12	1.94e-10	0.27
"Idi1"	-2.653	-2.959	-2.347	12	-18.319	1.37e-12	2e-10	0.083
"Kcnn4"	4.236	3.746	4.726	11.25	18.263	1.44e-12	2.07e-10	0.1
"Rbp1"	3.85	3.405	4.295	14.39	18.261	1.45e-12	2.07e-10	0.081
"Wtip"	1.721	1.522	1.92	13.532	18.239	1.47e-12	2.09e-10	0.186
"Cd63"	1.758	1.555	1.962	15.914	18.212	1.51e-12	2.12e-10	0.248
"Slitrk6"	-2.974	-3.32	-2.628	5.764	-18.148	1.6e-12	2.22e-10	0.157
"Dapp1"	2.224	1.965	2.483	9.393	18.104	1.66e-12	2.29e-10	0.357
"Aldh1l2"	2.527	2.232	2.822	8.628	18.087	1.69e-12	2.31e-10	0.131
"Aldh2"	1.281	1.131	1.43	14.974	18.046	1.75e-12	2.37e-10	0.098
"Cd1d1"	1.849	1.633	2.065	11.427	18.035	1.77e-12	2.37e-10	0.117
"Rgs18"	4.227	3.731	4.724	7.643	17.979	1.86e-12	2.47e-10	0.098
"Smpdl3a"	2.409	2.124	2.693	14.905	17.871	2.05e-12	2.7e-10	0.062
"Rnaset2"	1.923	1.696	2.151	15.465	17.829	2.13e-12	2.78e-10	0.151
"Loxl1"	4.219	3.719	4.72	11.586	17.788	2.21e-12	2.85e-10	0.101
"Ly49s7"	5.02	4.424	5.616	5.849	17.781	2.22e-12	2.85e-10	0.322
"Irf5"	1.629	1.435	1.824	12.377	17.694	2.4e-12	3.03e-10	0.15
"Myo1g"	2.799	2.466	3.133	12.06	17.699	2.39e-12	3.03e-10	0.282
"Fhod1"	1.168	1.029	1.308	9.822	17.66	2.48e-12	3.1e-10	0.144
"Lilrb4"	6.723	5.919	7.527	7.823	17.653	2.49e-12	3.1e-10	0.202
"A2m"	1.592	1.4	1.783	16.384	17.546	2.75e-12	3.39e-10	0.146
"Eya2"	2.489	2.189	2.788	9.193	17.521	2.82e-12	3.44e-10	0.099
"Junb"	2.504	2.201	2.806	9.042	17.453	3e-12	3.63e-10	0.118
"Cybb"	3.986	3.503	4.468	7.941	17.439	3.04e-12	3.65e-10	0.112
"Matn2"	3.857	3.389	4.324	11.436	17.425	3.08e-12	3.66e-10	0.089
"Mvd"	-2.117	-2.373	-1.86	12.625	-17.415	3.1e-12	3.66e-10	0.218
"Myo7a"	3.103	2.727	3.479	9.601	17.409	3.12e-12	3.66e-10	0.082
"Ms4a4a"	6.061	5.325	6.796	10.206	17.39	3.18e-12	3.7e-10	0.058
"Anxa5"	1.483	1.303	1.663	13.711	17.377	3.21e-12	3.72e-10	0.291
"Cp"	3.234	2.841	3.628	8.79	17.336	3.34e-12	3.83e-10	0.183
"Rhod"	1.365	1.198	1.532	8.877	17.271	3.55e-12	4.04e-10	0.192
"Batf"	3.442	3.02	3.863	8.925	17.242	3.64e-12	4.05e-10	0.14
"Stat3"	0.935	0.821	1.05	13.194	17.253	3.61e-12	4.05e-10	0.179
"Tmem106a"	3.037	2.665	3.409	8.922	17.245	3.63e-12	4.05e-10	0.173
"Pi16"	3.964	3.477	4.45	8.46	17.189	3.83e-12	4.23e-10	0.213
"Pltp"	1.67	1.464	1.876	11.856	17.115	4.1e-12	4.5e-10	0.088
"Adamtsl3"	2.567	2.249	2.885	5.975	17.045	4.38e-12	4.74e-10	0.112
"Pros1"	1.711	1.499	1.923	8.659	17.049	4.37e-12	4.74e-10	0.127
"Col6a3"	4.563	3.997	5.129	7.768	17.017	4.5e-12	4.81e-10	0.148
"Lrrn4cl"	3.435	3.009	3.861	9.955	17.006	4.54e-12	4.81e-10	0.1
"Prkcd"	2.114	1.851	2.376	13.539	17.012	4.52e-12	4.81e-10	0.143
"Timp2"	1.353	1.185	1.521	16.959	16.986	4.63e-12	4.86e-10	0.444
"Anpep"	2.491	2.181	2.801	10.508	16.946	4.81e-12	5.01e-10	0.144
"B4galt1"	2.865	2.507	3.222	7.953	16.913	4.96e-12	5.01e-10	0.143
"Cd109"	3.318	2.904	3.733	6.553	16.913	4.96e-12	5.01e-10	0.167
"Gsdmd"	1.452	1.271	1.633	13.293	16.923	4.91e-12	5.01e-10	0.225
"Gucy2c"	4.492	3.931	5.052	5.619	16.911	4.97e-12	5.01e-10	0.126
"Ifi30"	2.497	2.185	2.808	15.464	16.905	5e-12	5.01e-10	0.073
"Plau"	4.73	4.14	5.32	8.578	16.914	4.95e-12	5.01e-10	0.333
"Serping1"	4.026	3.522	4.53	13.295	16.849	5.27e-12	5.25e-10	0.096
"RGD1560208"	-2.239	-2.52	-1.958	11.606	-16.83	5.37e-12	5.27e-10	0.183
"Thbs2"	2.612	2.285	2.94	12.194	16.833	5.35e-12	5.27e-10	0.347
"Acat2l1"	-2.456	-2.765	-2.148	9.002	-16.814	5.45e-12	5.32e-10	1.046
"Rhbdf2"	2.681	2.344	3.018	9.336	16.785	5.6e-12	5.43e-10	0.065
"S100a4"	2.029	1.774	2.284	13.522	16.769	5.69e-12	5.48e-10	0.09
"Gdf15"	5.298	4.631	5.966	9.742	16.762	5.73e-12	5.48e-10	0.283
"Cyp51"	-2.505	-2.821	-2.189	11.663	-16.751	5.79e-12	5.49e-10	0.084
"Pcolce"	3.448	3.014	3.883	12.862	16.747	5.81e-12	5.49e-10	0.202
"Arpc1b"	2.889	2.525	3.254	13.945	16.722	5.95e-12	5.57e-10	0.155
"Rcsd1"	2.062	1.802	2.323	8.716	16.719	5.97e-12	5.57e-10	0.57
"C1qb"	2.092	1.827	2.357	16.717	16.674	6.23e-12	5.78e-10	0.104
"A3galt2"	3.083	2.692	3.474	9.56	16.634	6.48e-12	5.97e-10	0.586
"Ctsw"	4.31	3.761	4.859	4.544	16.562	6.94e-12	6.34e-10	0.073
"Cyp1b1"	4.749	4.144	5.355	7.762	16.554	7e-12	6.34e-10	0.086
"Fxyd5"	2.546	2.221	2.87	10.693	16.549	7.03e-12	6.34e-10	0.103
"Itgb2"	2.604	2.272	2.936	12.609	16.547	7.04e-12	6.34e-10	0.14
"Hmgcs1"	-3.174	-3.582	-2.767	12.145	-16.45	7.73e-12	6.88e-10	0.137
"Vamp5"	2.011	1.753	2.269	12.633	16.449	7.74e-12	6.88e-10	0.138
"Osr1"	4.751	4.14	5.361	7.101	16.436	7.84e-12	6.89e-10	0.176
"Rab13"	2.058	1.794	2.322	12.397	16.44	7.81e-12	6.89e-10	1.2
"Tspo"	2.267	1.975	2.558	12.085	16.411	8.03e-12	7.02e-10	0.475
"Aif1"	1.385	1.206	1.563	15.854	16.398	8.14e-12	7.03e-10	0.128
"Dhcr24"	-2.388	-2.695	-2.08	7.419	-16.4	8.12e-12	7.03e-10	0.796
"Stom"	2.681	2.335	3.027	9.802	16.367	8.38e-12	7.2e-10	0.133
"Cd6"	2.1	1.829	2.371	10.345	16.351	8.52e-12	7.22e-10	0.162
"Fgl2"	2.942	2.562	3.322	8.18	16.347	8.55e-12	7.22e-10	0.254
"Unc13d"	1.669	1.453	1.884	11.079	16.354	8.49e-12	7.22e-10	0.281
"Cfh"	2.158	1.879	2.436	11.402	16.327	8.72e-12	7.32e-10	0.285
"Slc39a6"	1.681	1.464	1.899	12.844	16.308	8.89e-12	7.42e-10	0.124
"Mst1"	3.721	3.239	4.203	8.103	16.291	9.03e-12	7.5e-10	0.251
"Hexa"	2.368	2.061	2.676	12.854	16.262	9.29e-12	7.67e-10	0.334
"Nsdhl"	-1.406	-1.589	-1.223	9.655	-16.246	9.44e-12	7.75e-10	0.094
"Slfn2"	3.455	3.006	3.905	11.033	16.224	9.64e-12	7.88e-10	0.265
"Gpr65"	3.016	2.623	3.409	7.162	16.19	9.97e-12	8.1e-10	0.132
"Ifitm3"	3.005	2.613	3.397	12.158	16.183	1e-11	8.12e-10	0.226
"Ctrc"	1.922	1.671	2.173	8.962	16.163	1.02e-11	8.23e-10	0.073
"Slc36a2"	6.061	5.268	6.855	6.176	16.121	1.07e-11	8.54e-10	0.126
"Eif4ebp1"	2.004	1.741	2.268	12.561	16.028	1.17e-11	9.26e-10	0.132
"Psme1"	1.514	1.315	1.713	13.602	16.03	1.17e-11	9.26e-10	0.185
"Mvk"	-1.524	-1.725	-1.324	10.829	-16.023	1.18e-11	9.26e-10	0.156
"Ptprv"	3.071	2.666	3.475	8.262	16.012	1.19e-11	9.31e-10	0.086
"Fam107a"	1.442	1.252	1.632	9.479	16.002	1.2e-11	9.36e-10	0.13
"Myo1f"	2.912	2.527	3.297	13.997	15.978	1.23e-11	9.53e-10	0.08
"Ptpn6"	2.088	1.812	2.364	14.259	15.961	1.25e-11	9.61e-10	0.103
"Tec"	2.08	1.805	2.355	13.005	15.959	1.25e-11	9.61e-10	0.125
"Bcl3"	2.911	2.525	3.297	12.766	15.909	1.32e-11	1e-09	0.114
"Rhoh"	2.196	1.904	2.487	9.064	15.91	1.32e-11	1e-09	0.108
"Vamp8"	1.509	1.308	1.709	13.151	15.873	1.37e-11	1.03e-09	0.536
"Mmp19"	2.583	2.238	2.927	7.373	15.829	1.43e-11	1.07e-09	0.231
"Mrc1"	3.831	3.32	4.343	9.026	15.815	1.45e-11	1.07e-09	0.169
"Pik3ap1"	2.863	2.481	3.245	8.04	15.817	1.44e-11	1.07e-09	0.097
"Plekha4"	4.898	4.244	5.551	13.739	15.824	1.44e-11	1.07e-09	0.19
"Scpep1"	2.281	1.977	2.585	14.333	15.833	1.42e-11	1.07e-09	0.063
"Ifitm7"	3.002	2.6	3.403	11.515	15.786	1.49e-11	1.09e-09	0.33
"Rasal3"	1.643	1.423	1.863	12.737	15.753	1.54e-11	1.12e-09	0.128
"Ifitm2"	3.519	3.046	3.991	13.899	15.725	1.59e-11	1.15e-09	0.119
"Kcnk13"	1.316	1.139	1.493	13.007	15.703	1.62e-11	1.17e-09	0.161
"Dock8"	1.831	1.584	2.077	7.875	15.668	1.68e-11	1.21e-09	0.09
"Mpeg1"	3.594	3.109	4.079	7.84	15.642	1.72e-11	1.23e-09	0.113
"LOC365047"	1.205	1.042	1.368	16.897	15.631	1.74e-11	1.24e-09	0.078
"Tbxas1"	3.017	2.607	3.426	13.193	15.559	1.88e-11	1.33e-09	0.222
"Parp10"	2.34	2.022	2.657	9.514	15.552	1.89e-11	1.33e-09	0.77
"Tifa"	1.811	1.565	2.057	10.179	15.549	1.9e-11	1.33e-09	0.147
"Nucb2"	1.992	1.722	2.263	12.403	15.541	1.91e-11	1.34e-09	0.088
"Sfrp5"	3.932	3.397	4.466	7.004	15.521	1.95e-11	1.35e-09	0.275
"Syk"	2.946	2.545	3.347	10.053	15.519	1.96e-11	1.35e-09	0.063
"Ctsa"	1.545	1.334	1.756	15.45	15.483	2.03e-11	1.39e-09	0.166
"Lyz2"	3.945	3.407	4.483	15.139	15.478	2.04e-11	1.39e-09	0.213
"Scamp2"	1.495	1.292	1.699	11.681	15.491	2.01e-11	1.39e-09	0.182
"Tgfbr1"	1.573	1.359	1.788	8.272	15.481	2.03e-11	1.39e-09	0.121
"Ncf1"	3.391	2.928	3.854	12.754	15.454	2.09e-11	1.41e-09	0.19
"Insig1"	-2.355	-2.677	-2.034	10.84	-15.448	2.1e-11	1.42e-09	0.1
"Mical1"	2.04	1.761	2.319	10.918	15.424	2.15e-11	1.45e-09	1.89
"Cd34"	2.918	2.518	3.317	7.317	15.409	2.19e-11	1.46e-09	0.59
"Slc22a18"	2.175	1.877	2.473	8.942	15.407	2.19e-11	1.46e-09	0.63
"Fap"	4.065	3.506	4.623	7.369	15.365	2.29e-11	1.52e-09	0.262
"Col6a2"	2.64	2.277	3.003	9.058	15.358	2.31e-11	1.52e-09	0.554
"Abca1"	4.086	3.524	4.647	11.6	15.353	2.32e-11	1.52e-09	0.215
"Crispld2"	1.946	1.678	2.214	12.462	15.328	2.38e-11	1.55e-09	0.152
"Fgr"	2.147	1.851	2.442	9.011	15.329	2.38e-11	1.55e-09	0.135
"Tgfb1"	2.391	2.062	2.721	9.232	15.324	2.39e-11	1.55e-09	0.125
"Tspan4"	2.214	1.909	2.52	11.575	15.312	2.42e-11	1.56e-09	0.565
"Hspb1"	2.204	1.9	2.509	15.461	15.29	2.47e-11	1.59e-09	0.135
"Oaf"	1.672	1.441	1.903	12.733	15.276	2.51e-11	1.61e-09	0.206
"Adcy4"	2.815	2.426	3.204	9.228	15.271	2.52e-11	1.61e-09	0.553
"Rgs1"	3.242	2.792	3.692	8.844	15.213	2.68e-11	1.7e-09	0.125
"Ncf4"	2.536	2.184	2.889	11.281	15.186	2.76e-11	1.74e-09	0.763
"Copz2"	2.113	1.819	2.408	10.758	15.149	2.86e-11	1.79e-09	0.211
"Lgmn"	2.044	1.759	2.329	15.027	15.148	2.87e-11	1.79e-09	0.379
"Prrg4"	4.566	3.928	5.204	7.257	15.099	3.02e-11	1.88e-09	0.294
"Arhgap10"	2.441	2.1	2.783	9.672	15.08	3.08e-11	1.91e-09	0.33
"Dap"	2.584	2.221	2.946	10.648	15.038	3.22e-11	1.99e-09	0.068
"Efemp2"	2.085	1.792	2.378	12.912	15.032	3.24e-11	1.99e-09	0.675
"Cebpb"	2.054	1.765	2.342	8.578	15.024	3.27e-11	2e-09	0.107
"Hsd17b1"	1.445	1.241	1.649	10.327	14.952	3.52e-11	2.15e-09	0.21
"Fabp4"	5.219	4.481	5.957	8.832	14.924	3.63e-11	2.19e-09	0.189
"Parp3"	2.015	1.73	2.3	8.826	14.927	3.62e-11	2.19e-09	0.108
"Samsn1"	2.284	1.961	2.607	7.522	14.927	3.62e-11	2.19e-09	0.295
"Folr2"	4.37	3.751	4.988	13.019	14.907	3.69e-11	2.21e-09	0.157
"RGD1564614"	2.054	1.763	2.345	11.433	14.906	3.7e-11	2.21e-09	0.33
"Neto2"	-1.283	-1.465	-1.101	9.371	-14.883	3.79e-11	2.26e-09	0.151
"Fdft1"	-2.497	-2.852	-2.143	9.372	-14.865	3.86e-11	2.28e-09	0.572
"Nr1h3"	1.845	1.583	2.106	12.262	14.868	3.85e-11	2.28e-09	0.209
"Ppic"	3.103	2.663	3.544	10.188	14.87	3.84e-11	2.28e-09	0.353
"Psmb9"	2.373	2.036	2.711	12.617	14.848	3.93e-11	2.31e-09	0.152
"Pttg1ip"	1.486	1.274	1.697	14.578	14.804	4.12e-11	2.41e-09	0.151
"Htr2b"	3.752	3.216	4.287	10.789	14.788	4.19e-11	2.44e-09	0.181
"Aldh3a1"	2.3	1.971	2.629	10.86	14.759	4.33e-11	2.51e-09	0.114
"Fuca1"	0.819	0.701	0.936	15.825	14.752	4.36e-11	2.52e-09	0.231
"Dab2"	3.387	2.902	3.872	11.374	14.74	4.41e-11	2.54e-09	0.154
"Cd40"	2.098	1.797	2.399	9.682	14.705	4.58e-11	2.62e-09	0.356
"Lbp"	6.619	5.669	7.569	9.85	14.705	4.58e-11	2.62e-09	0.217
"Pdlim2"	1.718	1.471	1.965	9.744	14.692	4.65e-11	2.64e-09	0.103
"Rhebl1"	-1.04	-1.189	-0.89	9.193	-14.689	4.66e-11	2.64e-09	0.06
"Hmgcr"	-2.177	-2.49	-1.864	7.863	-14.674	4.74e-11	2.67e-09	0.055
"Tnfaip8l2"	2.351	2.013	2.69	12.239	14.672	4.75e-11	2.67e-09	0.139
"Ren"	1.229	1.052	1.406	8.934	14.668	4.77e-11	2.67e-09	0.324
"Stap1"	5.562	4.761	6.363	6.388	14.656	4.83e-11	2.7e-09	0.276
"Tep1"	1.57	1.344	1.796	12.892	14.633	4.95e-11	2.76e-09	0.156
"Mmp8"	4.703	4.024	5.382	6.47	14.618	5.03e-11	2.79e-09	0.141
"Il13ra1"	1.696	1.451	1.942	7.687	14.59	5.18e-11	2.86e-09	0.184
"Ggta1"	2.496	2.134	2.858	5.312	14.552	5.4e-11	2.96e-09	0.115
"Nid2"	2.58	2.206	2.954	10.29	14.554	5.39e-11	2.96e-09	0.138
"Scube1"	2.108	1.802	2.414	9.107	14.543	5.46e-11	2.98e-09	0.212
"Acp5"	4.12	3.521	4.718	13.65	14.534	5.51e-11	3e-09	0.148
"Lst1"	4.169	3.557	4.781	10.23	14.379	6.52e-11	3.52e-09	0.309
"Plxnc1"	2.917	2.489	3.345	10.559	14.382	6.49e-11	3.52e-09	0.233
"Hsd17b7"	-2.209	-2.534	-1.885	6.947	-14.374	6.55e-11	3.53e-09	0.162
"Extl2"	-1.436	-1.648	-1.225	8.97	-14.329	6.88e-11	3.69e-09	0.07
"Cd86"	2.815	2.4	3.23	8.58	14.302	7.09e-11	3.79e-09	0.169
"Rarres1"	2.453	2.09	2.817	9.47	14.252	7.49e-11	3.99e-09	0.102
"Ifi47"	2.492	2.122	2.863	9.549	14.2	7.94e-11	4.2e-09	0.076
"Mxra8"	2.429	2.068	2.79	12.081	14.2	7.93e-11	4.2e-09	0.162
"Dcun1d4"	-1.112	-1.277	-0.946	9.551	-14.177	8.13e-11	4.29e-09	0.327
"Mlkl"	3.483	2.962	4.004	4.657	14.115	8.72e-11	4.58e-09	0.386
"Lrrk1"	1.704	1.449	1.959	10.494	14.102	8.84e-11	4.63e-09	0.106
"Aspg"	3.533	3.004	4.062	13.944	14.098	8.88e-11	4.64e-09	0.319
"Osr2"	5.798	4.927	6.67	5.489	14.049	9.38e-11	4.88e-09	0.515
"Fcgrt"	2.043	1.735	2.35	12.879	14.035	9.53e-11	4.94e-09	0.812
"Myc"	1.443	1.226	1.66	10.356	14.03	9.58e-11	4.94e-09	0.161
"Podnl1"	4.931	4.189	5.674	6.545	14.024	9.64e-11	4.94e-09	0.132
"Serpinf1"	4.267	3.625	4.91	11.572	14.022	9.67e-11	4.94e-09	0.502
"Slc12a7"	2.018	1.714	2.321	8.339	14.024	9.65e-11	4.94e-09	0.316
"Kremen1"	1.898	1.612	2.184	7.158	13.99	1e-10	5.1e-09	0.12
"Capg"	3.199	2.716	3.681	14.507	13.983	1.01e-10	5.13e-09	0.13
"Reck"	2.053	1.743	2.362	9.568	13.976	1.02e-10	5.15e-09	0.168
"Casp12"	2.999	2.546	3.453	7.692	13.959	1.04e-10	5.23e-09	0.266
"RGD1563222"	1.939	1.646	2.232	9.327	13.956	1.04e-10	5.23e-09	0.159
"Akr1b8"	3.1	2.63	3.569	10.926	13.936	1.06e-10	5.31e-09	0.082
"Slc2a9"	2.95	2.503	3.397	8.296	13.936	1.06e-10	5.31e-09	0.099
